x_Al_target,branch,x_Al,V,Vstd,a,astd,Ef,G,Gstd,Omega_total_eV,n_atoms,n_sites,n,n_total,alpha_mean,alpha_std
0.875,antisite,0.876,16.12135672251726,0.05577402873098929,3.1828058134155484,0.0036713955722152613,-0.16826902213373396,-0.20255095646752144,0.0031592717703164547,-50.63773911688037,250,250,3,3,0.007021272319501232,0.02395304103592707
0.875,vacancy,0.874126,16.528884855393578,0.05015626276704047,2.6641350135074564,0.0026931732657219467,-0.16389105496180845,-0.20758870833680088,0.001763309203629306,-29.685185292162526,143,250,3,3,-0.008941932929304265,0.03683686421782846
0.9,antisite,0.9,16.357616713800756,0.0430990761791158,3.1982797695133756,0.002810114148193223,-0.1298560457585308,-0.16038604684590266,0.0003466907768087864,-40.09651171147567,250,250,3,3,0.007695265411314767,0.009099248359720084
0.9,vacancy,0.899281,16.69320819198431,0.03543966438521411,2.6477771113551283,0.001873743975609064,-0.1258415832408947,-0.1638754184086902,0.0008805550034096432,-22.778683158807937,139,250,2,2,-0.0797059053866671,0.0
0.925,antisite,0.924,16.486021209642352,0.010490255333519223,3.2066281708127917,0.0006802210786837869,-0.08999954724791097,-0.11587216602149014,0.0006732053375709448,-28.968041505372536,250,250,3,3,0.009204536034657066,0.0053490484194431455
0.925,vacancy,0.925926,16.803229379746142,0.04633658948377227,2.6278783627335147,0.0024162955060935344,-0.08110180524824866,-0.1119505909021274,0.001409002063871418,-15.113329771787201,135,250,3,3,-0.002020946240604133,0.024784367710244875
0.95,antisite,0.948,16.53554129449348,0.013430313252939075,3.209835550290867,0.0008689336854911988,-0.04995099144562446,-0.0700420021331332,0.004163813201236051,-17.510500533283302,250,250,3,3,0.012783848021613498,0.0046276279655729806
0.95,vacancy,0.94697,17.028310185276652,0.040841910593336736,2.619861332832525,0.0020955236887593336,-0.042591177508909166,-0.0667297070538493,0.0028196468463304934,-8.808321331108106,132,250,3,3,-0.0024094033720972684,0.06363812604993056
0.975,antisite,0.976,16.668801925021995,0.061653492919991615,3.218432117202543,0.003969552580416224,-0.01751393122576937,-0.02882055813328827,0.004967338153498179,-7.205139533322067,250,250,3,3,0.007807736920411267,0.005262369382609882
0.975,vacancy,0.976562,17.045576044735775,0.2759382723084749,2.5939528185834324,0.014040585388564158,-0.0014496059178625998,-0.014013049514984144,0.018211689840708162,-1.7936703379179704,128,250,3,3,-0.03521140289817801,0.0042031413798433274
