x_Al_target,branch,x_Al,Ef,Efstd,a,V,n,n_atoms,G_1273K,Gstd_1273K,minus_T_S_1273K,G_1473K,Gstd_1473K,minus_T_S_1473K,delta_Ef_0K_all_eV,delta_G_1273K_0K_all_eV,delta_G_1473K_0K_all_eV,delta_Ef_1273K_eV,delta_G_1273K_1273K_eV,delta_G_1473K_1273K_eV,delta_Ef_1473K_eV,delta_G_1273K_1473K_eV,delta_G_1473K_1473K_eV
0.69,antisite,0.6875,-0.4303918938725621,0.001177749455417818,3.06410061217105,14.384006386104124,3,128,-0.4647265696843255,0.001177749455417818,-0.034334675811763415,-0.470120862820502,0.001177749455417818,-0.039728968947939924,0.09473803678405229,0.06040336097228888,0.055009067836112424,0.06075189856809954,0.026417222756336123,0.02102292962015967,0.0021187080159772997,-0.032215967795786116,-0.03761026093196257
0.7,antisite,0.703125,-0.4067135903164858,3.616375493412484e-05,3.0648458460383408,14.394542322809933,2,128,-0.441798560977688,3.616375493412484e-05,-0.0350849706612022,-0.44731073233058705,3.616375493412484e-05,-0.04059714201410125,0.09992810397094432,0.06484313330974212,0.059330961956843065,0.05987301250214272,0.024788041840940522,0.01927587048804147,0.004171481477626637,-0.03091348918357556,-0.03642566053647461
0.71,antisite,0.710938,-0.39695818183301634,0.0006323900682901112,3.075743192663584,14.54858894578336,3,128,-0.4323360387206919,0.0006323900682901112,-0.035377856887675585,-0.4378942251916543,0.0006323900682901112,-0.040936043358637986,0.10043880264625776,0.06506094575858223,0.05950275928761983,0.05734904034452781,0.021971183456852283,0.016412996985889883,0.0031134328969196212,-0.03226442399075591,-0.03782261046171831
0.73,antisite,0.726562,-0.3739068511415957,0.004325626128935213,3.0804051602763525,14.614835307536499,2,128,-0.4097088788752559,0.004325626128935213,-0.0358020277336602,-0.4153337064846291,0.004325626128935213,-0.041426855343033364,0.10500308021562155,0.06920105248196134,0.06357622487258818,0.05584475307405107,0.020042725340390866,0.014417897731017704,0.004540617527839241,-0.03126141020582096,-0.03688623781519412
0.75,antisite,0.75,-0.3490970251624175,0.0036312758763032567,3.113386302344099,15.08929847340184,2,128,-0.38513670102166,0.0036312758763032567,-0.03603967585924256,-0.39079886533575936,0.0036312758763032567,-0.04170184017334194,0.1020799600174595,0.066040284158217,0.06037811984411762,0.04381800879011183,0.007778332930869325,0.0021161686167699423,-0.003088543651585951,-0.039128219510828455,-0.04479038382492784
0.77,antisite,0.773438,-0.3258655880270384,0.0,3.1247340596170803,15.254893782932768,1,128,-0.3616676157606986,0.0,-0.0358020277336602,-0.3672924433700718,0.0,-0.041426855343033364,0.08301266913177296,0.04721064139811276,0.0415858137887396,0.030212875662373462,-0.00558915207128674,-0.011213979680659902,-0.012296093674810327,-0.04809812140847053,-0.05372294901784369
0.79,antisite,0.789062,-0.29765517326768576,0.0014727936233847603,3.1359949596401187,15.420438169902503,2,128,-0.33303303015536134,0.0014727936233847603,-0.035377856887675585,-0.33859121662632374,0.0014727936233847603,-0.040936043358637986,0.08302633815338634,0.04764848126571075,0.04209029479474835,0.03386767245982869,-0.0015101844278468946,-0.007068370898809295,-0.005709824975958677,-0.04108768186363426,-0.04664586833459666
0.8,antisite,0.796875,-0.2856099476117411,0.0011380236464914502,3.135090289599029,15.407097126562174,2,128,-0.3206949182729433,0.0011380236464914502,-0.0350849706612022,-0.3262070896258422,0.0011380236464914502,-0.040597142014101195,0.08097138623323302,0.045886415572030825,0.04037424421913188,0.03363351747468901,-0.0014514531865131852,-0.006963624539412128,-0.004478056384190465,-0.03956302704539266,-0.045075198398291605
0.5,perfect,0.5,-0.6920193068237968,0.0,2.882456714930723,11.974527545032217,1,128,-0.6920193068237968,0.0,0.0,-0.6920193068237968,0.0,0.0,-2.34380213370855e-06,-2.34380213370855e-06,-2.34380213370855e-06,-2.34380213370855e-06,-2.34380213370855e-06,-2.34380213370855e-06,-2.34380213370855e-06,-2.34380213370855e-06,-2.34380213370855e-06
0.32,vacancy,0.319149,-0.4022817255043242,0.0,2.5990534775166854,11.953573794892195,1,94,-0.45121331775704754,0.0,-0.048931592252723366,-0.4589009206247181,0.0,-0.05661919512039393,0.1450336887083069,0.09610209645558354,0.08841449358791298,0.13373557371970946,0.08480398146698609,0.07711637859931553,0.13373557371970946,0.08480398146698609,0.07711637859931553
