path,n_Ni_sublattice,n_defect_sublattice,c_defect,n_1nn_pairs,n_defect_defect_pairs,alpha_1nn_WC,a_eff_A,structure_id,branch,x_Al_target,seed
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.710_antisiteAl_dense_s7.extxyz,21,43,0.671875,144,67,-0.03070728922540722,3.0830098287714924,b2_x0.710_antisiteAl_dense_s7.extxyz,antisite,0.71,7
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.710_antisiteAl_dense_s8.extxyz,22,42,0.65625,144,60,0.03250188964474676,3.075594004745787,b2_x0.710_antisiteAl_dense_s8.extxyz,antisite,0.71,8
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.710_antisiteAl_dense_s9.extxyz,22,42,0.65625,144,56,0.09700176366843027,3.0720992002590637,b2_x0.710_antisiteAl_dense_s9.extxyz,antisite,0.71,9
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.720_vacNi_alrich_s0.extxyz,15,49,0.765625,192,111,0.013744273219491898,2.785418515936261,b2_x0.720_vacNi_alrich_s0.extxyz,vacancy,0.72,0
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.720_vacNi_alrich_s1.extxyz,17,47,0.734375,192,104,-0.00437603742266468,2.807302468734123,b2_x0.720_vacNi_alrich_s1.extxyz,vacancy,0.72,1
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.720_vacNi_alrich_s2.extxyz,15,49,0.765625,192,117,-0.03956684714702208,2.778683551278347,b2_x0.720_vacNi_alrich_s2.extxyz,vacancy,0.72,2
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.720_vacNi_alrich_s3.extxyz,16,48,0.75,201,120,-0.061359867330016415,2.7666719840439487,b2_x0.720_vacNi_alrich_s3.extxyz,vacancy,0.72,3
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.720_vacNi_alrich_s4.extxyz,20,44,0.6875,192,92,-0.01377410468319562,2.7937124530211648,b2_x0.720_vacNi_alrich_s4.extxyz,vacancy,0.72,4
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.720_vacNi_alrich_s5.extxyz,11,53,0.828125,192,135,-0.02527589889640436,2.780092072653856,b2_x0.720_vacNi_alrich_s5.extxyz,vacancy,0.72,5
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.720_vacNi_alrich_s6.extxyz,14,50,0.78125,192,118,-0.006933333333333458,2.7725690071302513,b2_x0.720_vacNi_alrich_s6.extxyz,vacancy,0.72,6
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.720_vacNi_alrich_s7.extxyz,14,50,0.78125,192,117,0.0016000000000000458,2.786133925197497,b2_x0.720_vacNi_alrich_s7.extxyz,vacancy,0.72,7
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.720_vacNi_alrich_sqs_5x5x5_s0.extxyz,14,50,0.78125,144,87,0.010133333333333439,3.4793110350865546,b2_x0.720_vacNi_alrich_sqs_5x5x5_s0.extxyz,vacancy,0.72,0
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.720_vacNi_alrich_sqs_5x5x5_s1.extxyz,9,55,0.859375,144,111,-0.0437465564738293,3.479661637316578,b2_x0.720_vacNi_alrich_sqs_5x5x5_s1.extxyz,vacancy,0.72,1
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.720_vacNi_alrich_sqs_5x5x5_s2.extxyz,9,55,0.859375,144,106,0.0032690541781450477,3.478290680033057,b2_x0.720_vacNi_alrich_sqs_5x5x5_s2.extxyz,vacancy,0.72,2
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.720_vacNi_alrich_sqs_5x5x5_s3.extxyz,33,92,0.736,375,208,-0.023944549464398168,2.7888810986900925,b2_x0.720_vacNi_alrich_sqs_5x5x5_s3.extxyz,vacancy,0.72,3
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.720_vacNi_alrich_sqs_5x5x5_s4.extxyz,37,88,0.704,375,190,-0.022296831955923135,2.7862199880293486,b2_x0.720_vacNi_alrich_sqs_5x5x5_s4.extxyz,vacancy,0.72,4
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.720_vacNi_alrich_sqs_5x5x5_s5.extxyz,37,88,0.704,375,184,0.009986225895316725,2.7837844755327694,b2_x0.720_vacNi_alrich_sqs_5x5x5_s5.extxyz,vacancy,0.72,5
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.720_vacNi_alrich_sqs_5x5x5_s6.extxyz,37,88,0.704,375,187,-0.006155303030303205,2.779733184533753,b2_x0.720_vacNi_alrich_sqs_5x5x5_s6.extxyz,vacancy,0.72,6
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.720_vacNi_alrich_sqs_5x5x5_s7.extxyz,34,91,0.728,375,205,-0.03147767982932814,2.7828797259957656,b2_x0.720_vacNi_alrich_sqs_5x5x5_s7.extxyz,vacancy,0.72,7
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.720_vacNi_alrich_sqs_5x5x5_s8.extxyz,32,93,0.744,375,208,-0.0020426253516783177,2.784498600863513,b2_x0.720_vacNi_alrich_sqs_5x5x5_s8.extxyz,vacancy,0.72,8
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.720_vacNi_alrich_sqs_5x5x5_s9.extxyz,41,84,0.672,375,170,-0.0038737717309145214,2.7898277008116072,b2_x0.720_vacNi_alrich_sqs_5x5x5_s9.extxyz,vacancy,0.72,9
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.730_antisiteAl_dense_s0.extxyz,21,43,0.671875,144,63,0.030827474310438086,3.083074026991808,b2_x0.730_antisiteAl_dense_s0.extxyz,antisite,0.73,0
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.730_antisiteAl_dense_s1.extxyz,18,46,0.71875,144,70,0.05902121403066585,3.099063254998726,b2_x0.730_antisiteAl_dense_s1.extxyz,antisite,0.73,1
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.730_antisiteAl_dense_s10.extxyz,23,41,0.640625,144,57,0.035494745191354427,3.093734606672393,b2_x0.730_antisiteAl_dense_s10.extxyz,antisite,0.73,10
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.730_antisiteAl_dense_s11.extxyz,23,41,0.640625,144,62,-0.049110978914667314,3.0834584728038585,b2_x0.730_antisiteAl_dense_s11.extxyz,antisite,0.73,11
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.730_antisiteAl_dense_s12.extxyz,23,41,0.640625,144,62,-0.049110978914667314,3.100036525791927,b2_x0.730_antisiteAl_dense_s12.extxyz,antisite,0.73,12
