x_Al_target,x_Al,branch,seed,defect_kind,n_defect,E_perfect_eV,E_defect_eV,deltaE_per_defect_eV,dE_total_eV,dNi,dAl,n_atoms,n_sites
0.47,0.471074,vacancy,0,Al_vacancy,7,-694.0398846214761,-654.9586409558267,1.854597612211317,39.08124366564937,0,-7,121,128
0.47,0.46875,antisite,1,Ni_antisite_on_Al,4,-694.0398846214761,-699.612042766866,0.6104185427820399,-5.572158145389949,4,-4,128,128
0.47,0.471074,vacancy,1,Al_vacancy,7,-694.0398846214761,-655.1499165803166,1.8272725229984756,38.88996804115948,0,-7,121,128
0.47,0.46875,antisite,2,Ni_antisite_on_Al,4,-694.0398846214761,-699.4876636472696,0.6415133226811323,-5.447779025793579,4,-4,128,128
0.47,0.471074,vacancy,2,Al_vacancy,7,-694.0398846214761,-655.1512146256449,1.827087087951572,38.88866999583115,0,-7,121,128
0.49,0.492188,antisite,0,Ni_antisite_on_Al,1,-694.0398846214761,-695.4814794602624,0.5618632403431407,-1.4415948387863864,1,-1,128,128
0.49,0.488,vacancy,0,Al_vacancy,3,-694.0398846214761,-677.7065749248873,1.7159993683624357,16.3333096965888,0,-3,125,128
0.49,0.492188,antisite,1,Ni_antisite_on_Al,1,-694.0398846214761,-695.4814794602624,0.5618632403431407,-1.4415948387863864,1,-1,128,128
0.49,0.488,vacancy,1,Al_vacancy,3,-694.0398846214761,-677.7894748540757,1.6883660586329547,16.250409767400356,0,-3,125,128
0.49,0.492188,antisite,2,Ni_antisite_on_Al,1,-694.0398846214761,-695.4814794602623,0.5618632403432544,-1.4415948387862727,1,-1,128,128
0.49,0.488,vacancy,2,Al_vacancy,3,-694.0398846214761,-677.7323184007505,1.7074182097413566,16.307566220725562,0,-3,125,128
0.51,0.512,vacancy,0,Ni_vacancy,3,-694.0398846214761,-673.6446263932012,1.0665241331282698,20.395258228274884,-3,0,125,128
0.51,0.507812,antisite,0,Al_antisite_on_Ni,1,-694.0398846214761,-690.4355645580683,1.6008619842781995,3.6043200634077266,-1,1,128,128
0.51,0.512,vacancy,1,Ni_vacancy,3,-694.0398846214761,-673.6468111076687,1.06579589497244,20.393073513807394,-3,0,125,128
0.51,0.507812,antisite,1,Al_antisite_on_Ni,1,-694.0398846214761,-690.4355645580686,1.600861984277972,3.604320063407499,-1,1,128,128
0.51,0.512,vacancy,2,Ni_vacancy,3,-694.0398846214761,-673.6589402365439,1.0617528520140251,20.38094438493215,-3,0,125,128
0.51,0.507812,antisite,2,Al_antisite_on_Ni,1,-694.0398846214761,-690.4355645580682,1.6008619842783132,3.6043200634078403,-1,1,128,128
0.53,0.528926,vacancy,0,Ni_vacancy,7,-694.0398846214761,-646.1689212180488,1.1068137813357737,47.870963403427254,-7,0,121,128
0.53,0.53125,antisite,0,Al_antisite_on_Ni,4,-694.0398846214761,-679.5166217501445,1.6273576387033613,14.523262871331553,-4,4,128,128
0.53,0.528926,vacancy,1,Ni_vacancy,7,-694.0398846214761,-646.4670353294194,1.0642260511399684,47.57284929205662,-7,0,121,128
0.53,0.53125,antisite,1,Al_antisite_on_Ni,4,-694.0398846214761,-679.5940852521862,1.6079917631929304,14.44579936928983,-4,4,128,128
0.53,0.528926,vacancy,2,Ni_vacancy,7,-694.0398846214761,-646.2313630409178,1.097893520925916,47.80852158055825,-7,0,121,128
0.53,0.53125,antisite,2,Al_antisite_on_Ni,4,-694.0398846214761,-679.3324984716011,1.673388458339221,14.707386149874992,-4,4,128,128
0.61,0.609375,antisite,0,Al_antisite_on_Ni,14,-694.0398846214761,-642.9284625184783,1.64735778537031,51.11142210299772,-14,14,128,128
0.61,0.609375,antisite,1,Al_antisite_on_Ni,14,-694.0398846214761,-643.6340689963397,1.5969573226659277,50.40581562513637,-14,14,128,128
0.61,0.609375,antisite,2,Al_antisite_on_Ni,14,-694.0398846214761,-643.1392139793518,1.6323041095936357,50.90067064212428,-14,14,128,128
0.63,0.632812,antisite,0,Al_antisite_on_Ni,17,-694.0398846214761,-632.8642206877604,1.5951103875596297,61.17566393371567,-17,17,128,128
0.63,0.632812,antisite,1,Al_antisite_on_Ni,17,-694.0398846214761,-634.3543684432755,1.507454637235214,59.6855161782006,-17,17,128,128
0.63,0.632812,antisite,2,Al_antisite_on_Ni,17,-694.0398846214761,-633.4871601530449,1.5584668896017178,60.552724468431165,-17,17,128,128
0.65,0.648438,antisite,0,Al_antisite_on_Ni,19,-694.0398846214761,-627.3196237273528,1.5081345995085393,66.72026089412327,-19,19,128,128
0.65,0.648438,antisite,1,Al_antisite_on_Ni,19,-694.0398846214761,-626.9727702107677,1.5263900477498573,67.06711441070831,-19,19,128,128
0.65,0.648438,antisite,2,Al_antisite_on_Ni,19,-694.0398846214761,-626.6340166994272,1.5442191799256755,67.40586792204886,-19,19,128,128
0.67,0.671875,antisite,0,Al_antisite_on_Ni,22,-694.0398846214761,-618.0030218770881,1.4527629547062872,76.03686274438792,-22,22,128,128
0.67,0.671875,antisite,2,Al_antisite_on_Ni,22,-694.0398846214761,-617.3434022390123,1.482745665527915,76.69648238246373,-22,22,128,128
0.69,0.6875,antisite,0,Al_antisite_on_Ni,24,-694.0398846214761,-612.3169952296946,1.4016623121946996,81.72288939178145,-24,24,128,128
0.69,0.6875,antisite,1,Al_antisite_on_Ni,24,-694.0398846214761,-612.4701376907691,1.3952813763165963,81.56974693070697,-24,24,128,128
0.69,0.6875,antisite,2,Al_antisite_on_Ni,24,-694.0398846214761,-612.618486386925,1.3891001806434318,81.42139823455102,-24,24,128,128
0.71,0.710938,antisite,0,Al_antisite_on_Ni,27,-694.0398846214761,-602.0905685209525,1.4020721468157893,91.94931610052356,-27,27,128,128
0.71,0.710938,antisite,1,Al_antisite_on_Ni,27,-694.0398846214761,-602.2497782061157,1.3961754918097447,91.79010641536036,-27,27,128,128
0.71,0.710938,antisite,2,Al_antisite_on_Ni,27,-694.0398846214761,-602.1955886591643,1.3981825120672047,91.84429596231178,-27,27,128,128
0.73,0.726562,antisite,0,Al_antisite_on_Ni,29,-694.0398846214761,-595.6126661188135,1.3905839382036638,98.42721850266253,-29,29,128,128
0.73,0.726562,antisite,2,Al_antisite_on_Ni,29,-694.0398846214761,-594.8296441492397,1.4175846957751754,99.21024047223636,-29,29,128,128
0.75,0.75,antisite,0,Al_antisite_on_Ni,32,-694.0398846214761,-585.7064523354171,1.381961679809815,108.33343228605895,-32,32,128,128
0.75,0.75,antisite,1,Al_antisite_on_Ni,32,-694.0398846214761,-586.3637834833194,1.3614200814378696,107.6761011381567,-32,32,128,128
0.77,0.773438,antisite,0,Al_antisite_on_Ni,35,-694.0398846214761,-577.0511144567162,1.339078211292184,116.9887701647599,-35,35,128,128
0.79,0.789062,antisite,0,Al_antisite_on_Ni,37,-694.0398846214761,-569.2999596394302,1.3678912447095506,124.73992498204586,-37,37,128,128
0.79,0.789062,antisite,2,Al_antisite_on_Ni,37,-694.0398846214761,-569.5665637631764,1.3606857278515447,124.47332085829964,-37,37,128,128
0.41,0.407407,vacancy,0,Al_vacancy,20,-694.0398846214761,-591.6482905479214,1.3911425065105683,102.39159407355464,0,-20,108,128
