name,entry_id,spacegroup,prototype,ntypes,band_gap,delta_e,volume_pa,stability
TiZn,2032446,Pm-3m,CsCl,2,0.0,-0.21553063689313134,,0.006787270000000234
SnAs,2032671,Pm-3m,CsCl,2,0.0,0.13758933407439855,,0.25221972486379896
KF,2032721,Pm-3m,CsCl,2,7.292,-2.8106946970655526,,0.10271843499999722
NaBr,2032723,Pm-3m,CsCl,2,3.257,-1.6459013691337419,,0.15185422499999812
NaF,2032725,Pm-3m,CsCl,2,6.48,-2.8165758549913766,,0.1574203350000034
NaI,2032726,Pm-3m,CsCl,2,2.473,-1.2594153416399827,,0.15715173999999732
KSe,2032781,Pm-3m,CsCl,2,0.0,-0.6002019475,,0.353651070833334
KTe,2032785,Pm-3m,CsCl,2,0.0,-0.595163749166665,,0.24992384083333297
CeN,2032907,Pm-3m,CsCl,2,0.0,-0.5683243164217533,,0.7431513749999967
BaS,2033256,Pm-3m,CsCl,2,1.5500000000000003,-2.0054565770066786,,0.2194936037500015
SnRu,2033514,Pm-3m,CsCl,2,0.0,-0.13269208842560065,,0.06055564991194218
CaCu,2033964,Pm-3m,CsCl,2,0.0,-0.06925242500000017,,0.09321424999999994
LiH,2033997,Pm-3m,CsCl,2,1.0979999999999999,-0.17607086609208755,,0.23338459999999944
GeRu,2034071,Pm-3m,CsCl,2,0.0,-0.25224704750000004,,0.03825636592131876
TbN,2034282,Pm-3m,CsCl,2,0.0,-0.5403426600050878,,0.8959899950000023
TbO,2034286,Pm-3m,CsCl,2,0.0,-2.0704455352727127,,0.8964440608963287
TbS,2034290,Pm-3m,CsCl,2,0.0,-1.4744343193400127,,0.3511838099999973
TbSe,2034294,Pm-3m,CsCl,2,0.0,-1.203413457333335,,0.2465412662500004
ScBi,2034914,Pm-3m,CsCl,2,0.0,-0.4284102799999996,,0.2549252749999994
YBi,2034916,Pm-3m,CsCl,2,0.0,-0.636614559999999,,0.2786020533333339
TbAs,2034939,Pm-3m,CsCl,2,0.0,-0.7297996398333355,,0.4817985900000046
TiO,2034995,Pm-3m,CsCl,2,0.0,-2.2359775948325087,,0.5453821450000014
LiS,2035434,Pm-3m,CsCl,2,0.0,-0.7422255720066784,,0.3918571997997047
LiSe,2035439,Pm-3m,CsCl,2,0.0,-0.6854203750000001,,0.2686529549999974
LiTe,2035444,Pm-3m,CsCl,2,0.0,-0.5521306316666652,,0.2304695566666698
InP,2035476,Pm-3m,CsCl,2,0.0,0.2542631555200314,,0.6052594949999994
CaN,2035481,Pm-3m,CsCl,2,0.0,-0.17748580767175337,,0.6356886749813171
CaC,2035485,Pm-3m,CsCl,2,0.0,1.0656989362499996,,1.1031459549999998
BaBi,2035553,Pm-3m,CsCl,2,0.0,-0.7480473424999996,,0.13275564916104177
CaBi,2035558,Pm-3m,CsCl,2,0.0,-0.6998071874999998,,0.09469173666666664
SrBi,2035567,Pm-3m,CsCl,2,0.0,-0.7368627774999998,,0.1059926174985909
CaS,2035871,Pm-3m,CsCl,2,1.5089999999999995,-1.9404247470066784,,0.3732473700000014
CaSe,2035873,Pm-3m,CsCl,2,0.8570000000000002,-1.7009384350000003,,0.34286039999999973
NiAg,2036146,Pm-3m,CsCl,2,0.0,0.30162267124999964,,0.3021944262499998
NbV,2036459,Pm-3m,CsCl,2,0.0,0.0596084500000007,,0.10676385562500103
TaV,2036463,Pm-3m,CsCl,2,0.0,0.02996831500000141,,0.12428582625000129
VMo,2036467,Pm-3m,CsCl,2,0.0,-0.12077022999999976,,0.0001688499999996651
VW,2036471,Pm-3m,CsCl,2,0.0,-0.07241948499999928,,0.0025291695833346423
TaNb,2036475,Pm-3m,CsCl,2,0.0,0.0009003800000009221,,0.0063121150000000625
NbMo,2036479,Pm-3m,CsCl,2,0.0,-0.11629493500000088,,0.0
NbW,2036483,Pm-3m,CsCl,2,0.0,-0.03470145000000002,,0.022581399999999974
TaMo,2036487,Pm-3m,CsCl,2,0.0,-0.1944135400000011,,0.0
TaW,2036491,Pm-3m,CsCl,2,0.0,-0.10150969000000032,,0.004061325000000338
MoW,2036495,Pm-3m,CsCl,2,0.0,-0.009953535000001068,,0.0001650599999987179
MnSi,2036678,Pm-3m,CsCl,2,0.0,-0.33619314439655046,,0.12805764875000053
TaP,2036682,Pm-3m,CsCl,2,0.0,-0.667663674479968,,0.39780593000000053
CuH,2036722,Pm-3m,CsCl,2,0.0,0.5739777939079125,,0.5739777939079125
MgN,2036781,Pm-3m,CsCl,2,0.0,0.0968782877449117,,0.8153932056103563
FeSi,2036894,Pm-3m,CsCl,2,0.0,-0.4917587025000003,,0.022384549999999726
CrAs,2036995,Pm-3m,CsCl,2,0.0,0.09522400250000018,,0.29377326749999977
MoP,2037259,Pm-3m,CsCl,2,0.0,-0.4642630444799689,,0.3169685750000011
BaC,2037380,Pm-3m,CsCl,2,0.0,1.5231762462499994,,1.5756418805335288
BaN,2037392,Pm-3m,CsCl,2,0.0,0.2542999823282468,,0.8121567308333328
ScS,2037503,Pm-3m,CsCl,2,0.0,-1.6349390095066783,,0.40117933375000003
ScSe,2037505,Pm-3m,CsCl,2,0.0,-1.3170490024999992,,0.3147141062500003
AlMo,2037610,Pm-3m,CsCl,2,0.0,0.08114434999999975,,0.3686424848585548
NbAl,2037614,Pm-3m,CsCl,2,0.0,-0.03588608000000093,,0.31424083459999985
AlV,2037618,Pm-3m,CsCl,2,0.0,0.004743809999999904,,0.23969115597576174
