name,entry_id,spacegroup,prototype,ntypes,band_gap,delta_e,volume_pa,stability
DyPb3,29905,Pm-3m,AuCu3,2,0.0,-0.272155981666668,,0.00577817249999929
DyPt3,29914,Pm-3m,AuCu3,2,0.0,-1.01995835166667,,0.0014078949999980495
DyTl3,29948,Pm-3m,AuCu3,2,0.0,-0.214826087916668,,0.004814477499999775
ErGa3,29969,Pm-3m,AuCu3,2,0.0,-0.51362615625,,0.0
ErPt3,30031,Pm-3m,AuCu3,2,0.0,-1.054195475,,0.0013947950000006148
ErTl3,30065,Pm-3m,AuCu3,2,0.0,-0.18061170875,,0.004830775000000009
EuPb3,30123,Pm-3m,AuCu3,2,0.0,-0.461442005,,0.00153450250000009
EuPd3,30129,Pm-3m,AuCu3,2,0.0,-0.67240313,,0.01183876166666653
GaFe3,30161,Pm-3m,AuCu3,2,0.0,-0.137155466250001,,0.0
FePd3,30235,Pm-3m,AuCu3,2,0.0,-0.10785679,,0.0029802225000002264
Fe3Pt,30238,Pm-3m,AuCu3,2,0.0,-0.0806188375000003,,0.039906302499999505
GaNi3,30308,Pm-3m,AuCu3,2,0.0,-0.29749693875,,5.1795000000243174e-05
Pu3Ga,30332,Pm-3m,AuCu3,2,0.0,-0.105038936250001,,0.06654659312499898
ScGa3,30346,Pm-3m,AuCu3,2,0.0,-0.493635575,,0.0003829950000009963
UGa3,30363,Pm-3m,AuCu3,2,0.0,-0.225247895,,0.00032668499999999323
GdIn3,30377,Pm-3m,AuCu3,2,0.0,-0.445692829375,,0.0012664275000004999
GdIr3,30380,Pm-3m,AuCu3,2,0.0,-0.353579579374999,,0.24085806875000076
GdPb3,30398,Pm-3m,AuCu3,2,0.0,-0.308669801875,,0.0027614662542755353
GdSn3,30421,Pm-3m,AuCu3,2,0.0,-0.518873894513401,,0.008815954143600147
GdTl3,30424,Pm-3m,AuCu3,2,0.0,-0.248037538125,,0.004446737500000075
Pr3Sn,30964,Pm-3m,AuCu3,2,0.0,-0.473944329837801,,0.0042748615577622995
TiPt3,30987,Pm-3m,AuCu3,2,0.0,-0.852271958446567,,0.0046398378571419485
ErIn3,31226,Pm-3m,AuCu3,2,0.0,-0.3859263875,,0.0021173749999996994
DyIn3,31227,Pm-3m,AuCu3,2,0.0,-0.417266459166667,,0.0020873150000003116
Cu3N,52896,Pm-3m,AuCu3,2,0.0,0.832809196164123,,0.832809196164123
