material_id,formula,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull,source,structure_type,lattice_constant_calc
mp-11500,MnNi,Mn,Ni,1.0,1.0,2.92831621,-13.695063285,0.0,MP,B2,2.8757448132028642
mp-823,TiCo,Ti,Co,1.0,1.0,2.9861109900000002,-13.493100065,0.0,MP,B2,2.9767026903023672
mp-1226196,CrNi,Cr,Ni,1.0,1.0,2.8935939999999993,-13.256944137500001,0.27058563750000003,MP,B2,2.8874076224955463
mp-2743,LiPd,Li,Pd,1.0,1.0,2.9596782900000003,-13.06872738,0.021507794999999,MP,B2,3.0419673947292476
mp-2212,ScCo,Sc,Co,1.0,1.0,3.1422648,-12.60761453,0.0,MP,B2,3.1251438088419925
mp-1121,GaCo,Ga,Co,1.0,1.0,2.84722922,-12.534109495,0.0,MP,B2,2.9167150841853147
mp-1006883,CoNi,Co,Ni,1.0,1.0,2.802193,-12.453872239999999,0.16957769249999902,MP,B2,2.7132438589690473
mp-6907,SrSi,Sr,Si,1.0,1.0,3.803385999999999,-12.1138120675,0.3727478825,MP,B2,3.8765787018252875
mp-1941,GaNi,Ga,Ni,1.0,1.0,2.87758102,-12.067911885000001,0.042973296904762,MP,B2,2.92812122310569
mp-2426,LiAg,Li,Ag,1.0,1.0,3.12274033,-12.05174388,0.0,MP,B2,3.170609580502535
mp-11364,TiCu,Ti,Cu,1.0,1.0,3.077148,-11.948117137499999,0.08266960000000001,MP,B2,3.0682618673863864
mp-11555,PuRu,Pu,Ru,1.0,1.0,3.271976,-11.859752755,0.146414755625006,MP,B2,3.3249109030748385
mp-11503,MnZn,Mn,Zn,1.0,1.0,2.9991689999999993,-11.791911957816094,0.08320094235632,MP,B2,3.0655062522537753
mp-1169,ScCu,Sc,Cu,1.0,1.0,3.24086813,-11.379209585,0.0,MP,B2,3.216702985926011
mp-22746,CoSi,Co,Si,1.0,1.0,2.7813339999999993,-11.29580959375,0.20111362124999901,MP,B2,2.8513319898788776
mp-284,AlCo,Al,Co,1.0,1.0,2.81940321,-10.53962086,0.0,MP,B2,2.9204280151141626
mp-1002122,HfIr,Hf,Ir,1.0,1.0,3.26211488,-10.30337068,0.042428189999998006,MP,B2,3.231556123890821
mp-1061123,TiAl,Ti,Al,1.0,1.0,3.179064,-10.14098878,0.140896305,MP,B2,3.1952929853678587
mp-1487,AlNi,Al,Ni,1.0,1.0,2.85971129,-10.041808895,0.0,MP,B2,2.9318341540345383
mp-21263,PuSb,Pu,Sb,1.0,1.0,3.79083024,-9.87077619,0.065012969749995,MP,B2,3.77123491045161
mp-2564,SrMg,Sr,Mg,1.0,1.0,4.19031811,-9.67834467,0.046758607500001007,MP,B2,4.02033800128486
mp-1009826,TaCo,Ta,Co,1.0,1.0,3.068399,-9.601979595,0.13513613766666402,MP,B2,3.0541825812103736
mp-331,ScAl,Sc,Al,1.0,1.0,3.37034897,-9.531470604999999,0.0,MP,B2,3.3437341039074835
mp-12594,TiIr,Ti,Ir,1.0,1.0,3.121636999999999,-9.139234785,0.08534831500000001,MP,B2,3.0857435173005743
mp-1022721,AlCu,Al,Cu,1.0,1.0,2.997509,-8.957870017,0.074061238,MP,B2,3.011987192198181
mp-1335,VFe,V,Fe,1.0,1.0,2.93950639,-8.90397548,0.022709966875002003,MP,B2,2.914283791807066
mp-1129,ScIr,Sc,Ir,1.0,1.0,3.21838608,-8.643917585,0.0,MP,B2,3.234184635840199
mp-1009264,NbCo,Nb,Co,1.0,1.0,3.08203,-8.642405925,0.13343272516666702,MP,B2,3.0902331696001206
mp-305,TiFe,Ti,Fe,1.0,1.0,2.93868071,-8.603586765,0.0,MP,B2,3.0379957443594052
mp-30746,YIr,Y,Ir,1.0,1.0,3.41633399,-8.472773085,0.0,MP,B2,3.432381035790711
mp-11563,TiRh,Ti,Rh,1.0,1.0,3.115202,-8.35115537,0.020116699999999002,MP,B2,3.071252289138478
mp-30867,ScRu,Sc,Ru,1.0,1.0,3.1985335,-8.346511335,0.0,MP,B2,3.213195319034123
mp-1009133,MnCo,Mn,Co,1.0,1.0,2.8536,-8.161024025,0.0,MP,B2,2.8643386742824886
mp-1918,FeRh,Fe,Rh,1.0,1.0,2.99209254,-7.961014355,0.0,MP,B2,2.8576803729418194
mp-1780,ScRh,Sc,Rh,1.0,1.0,3.2169060800000002,-7.879599589999998,0.0,MP,B2,3.2196934076781023
mp-2090,FeCo,Fe,Co,1.0,1.0,2.8390261,-7.85709309,0.0,MP,B2,2.763130774105709
mp-191,YRh,Y,Rh,1.0,1.0,3.41784978,-7.767392945000001,0.0,MP,B2,3.417889807628615
mp-1529,LuIr,Lu,Ir,1.0,1.0,3.32846077,-7.691750630000001,0.0,MP,B2,3.342591307865442
mp-2713,ErIr,Er,Ir,1.0,1.0,3.37193092,-7.624660150000004,0.0,MP,B2,3.386614468242594
