material_id,formula,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull,source,structure_type
mp-526,CaTl3,Ca,Tl,1.0,3.0,4.8251418600000004,-41.92368676,0.0,MP,L1$_2$
mp-1206376,MnAu3,Mn,Au,1.0,3.0,4.081319,-41.8070853175,0.086135026250005,MP,L1$_2$
mp-1187496,Tl3Si,Tl,Si,3.0,1.0,4.783735,-41.697111076249996,0.380808507499999,MP,L1$_2$
mp-1183680,CoW3,Co,W,1.0,3.0,3.907351,-41.549367191666676,0.285036375833328,MP,L1$_2$
mp-1185438,Lu3Hg,Lu,Hg,3.0,1.0,4.714644,-41.089523631666665,0.08639078000000201,MP,L1$_2$
mp-1183062,AcDy3,Ac,Dy,1.0,3.0,5.1806112,-41.069441195,0.07628107687499801,MP,L1$_2$
mp-188,AlPt3,Al,Pt,1.0,3.0,3.889931739999999,-41.0380479975,0.013889883124996002,MP,L1$_2$
mp-1206590,CoAu3,Co,Au,1.0,3.0,4.024451,-41.01277380375001,0.23450409124999502,MP,L1$_2$
mp-1184453,Gd3Er,Gd,Er,3.0,1.0,5.14561346,-40.956194565,0.07291820166667401,MP,L1$_2$
mp-976784,NiAu3,Ni,Au,1.0,3.0,4.028168,-40.8452285325,0.088920869999995,MP,L1$_2$
mp-1187526,Tl3B,Tl,B,3.0,1.0,4.641985,-40.72029083166667,1.000776152708333,MP,L1$_2$
mp-973191,LiTl3,Li,Tl,1.0,3.0,4.69762631,-40.5679174775,0.041037442499998,MP,L1$_2$
mp-1184431,Gd3Dy,Gd,Dy,3.0,1.0,5.16460216,-40.46935427,0.07980226749999901,MP,L1$_2$
mp-1183693,CrHg3,Cr,Hg,1.0,3.0,4.439138,-40.432683538125,0.36150695125,MP,L1$_2$
mp-1185994,MnHg3,Mn,Hg,1.0,3.0,4.41785,-40.40227396898707,0.294414591767242,MP,L1$_2$
mp-1184558,Hf3Sn,Hf,Sn,3.0,1.0,4.41221291,-40.3136231425,0.021194234166664,MP,L1$_2$
mp-1185539,CeGd3,Ce,Gd,1.0,3.0,5.029572,-40.17925961625001,0.078651548750002,MP,L1$_2$
mp-985285,CoHg3,Co,Hg,1.0,3.0,4.288468,-39.860236264375004,0.47417640999999805,MP,L1$_2$
