composition,struct,a_exp,a_eq10_ss,delta_r,delta_sf_ss,delta_sf,delta_sf_signed,Omega_yang,n_elements,error_abs,n_pairs,n_missing_ss,n_missing_combined
Hf-Nb-Ta-Ti-V,BCC,3.279,3.2952167322883845,5.102757767019025,0.0,0.013904825694141592,-0.011147527247062838,64.04856688583457,5,0.016216732288384605,10,10,0
Mo-Nb-Ta-Ti-Zr,BCC,3.285,3.3808739138332196,4.3009669162688855,0.0,0.013742009546742581,-0.013692077524694497,15.84858460692382,5,0.09587391383321942,10,10,0
Mo-Nb-Ta-Ti-Zr,BCC,3.24,3.3087684163787534,3.8894901058515723,0.0,0.014747423174866183,-0.010719248196346067,17.48758143556927,5,0.0687684163787532,10,10,0
Mo-Nb-Ta-Ti-Zr,BCC,3.4,3.3629384646866676,4.3975220658460366,0.0,0.014826205665339803,-0.013792533749808036,95.1691856348675,5,0.03706153531333234,10,10,0
Hf-Nb-Ti-V-Zr,BCC,3.3663,3.362470782810671,6.17204987727566,0.0,0.01490075009708199,-0.014351576350490496,192.48376897521086,5,0.0038292171893288263,10,10,0
Al-Nb-Ti-V,BCC,3.18,3.195119245930009,3.3700227557056843,0.01578223433750995,0.026920592378350885,-0.0283364399379277,1.30501336408732,4,0.015119245930008685,6,5,0
Co-Cr-Fe-Ni,FCC,3.575,3.576131266888641,1.3167955002219704,0.0026035732922775477,0.016628311621289256,-0.011535647401314741,5.752836761366147,4,0.0011312668886409583,6,5,0
Co-Cr-Fe-Mn-Ni,FCC,3.597,3.5917677492266495,1.4601423152441408,0.00253370129282902,0.02964960088314135,-0.020743487983016416,5.793658001760474,5,0.005232250773350433,10,8,0
Co-Cr-Fe-Mn-Ni,FCC,3.59,3.591815935438948,1.4533550371133022,0.002498113358745918,0.02956703959041346,-0.02089868800501688,5.864354604594883,5,0.0018159354389482019,10,8,0
Co-Cr-Fe-Mn-Ni,FCC,3.6,3.591797293949981,1.4562338423701005,0.002535546094159599,0.02967677567575266,-0.021009430101444477,5.856177877561689,5,0.00820270605001916,10,8,0
Cr-Fe-Mn-Ni,FCC,3.61,3.6147487344498104,1.035845570523547,0.00274228099734934,0.03908266625302779,-0.03506123994363455,10.086259031732641,4,0.004748734449810499,6,4,0
Co-Cr-Fe-Mn-Ni,FCC,3.587,3.5964652650442686,1.2241225580192845,0.0022042313006320636,0.028445254971082322,-0.024796349140098616,8.26624201638513,5,0.009465265044268367,10,8,0
Co-Cr-Fe-Mn-Ni,FCC,3.588,3.6033097547083712,1.252217203816269,0.001727024545026052,0.03338961047446694,-0.030806805816543485,8.650996873669644,5,0.015309754708371148,10,8,0
