label,seed,atom_index,element,V_vor_A3
Al-Ti,0,15,Ti,16.769077361192743
Al-Ti,0,16,Al,16.43382625587106
Al-Ti,0,17,Al,16.536423414982636
Al-Ti,0,18,Al,16.48014626977878
Al-Ti,0,19,Al,16.662461484670317
Al-Ti,0,20,Ti,16.61713151505282
Al-Ti,0,21,Ti,16.384661367740687
Al-Ti,0,22,Ti,16.5690637335413
Al-Ti,0,23,Ti,16.61537357847333
Al-Ti,0,24,Ti,16.594832409512065
Al-Ti,0,25,Al,16.157011582262275
Al-Ti,0,26,Al,16.458328749525343
Al-Ti,0,27,Ti,16.4284234729086
Al-Ti,0,28,Al,16.534326329386175
Al-Ti,0,29,Ti,16.437421660496764
Al-Ti,0,30,Ti,16.23503746199761
Al-Ti,0,31,Al,16.847824505638695
Al-Ti,0,32,Al,16.801928230201387
Al-Ti,0,33,Ti,16.880867944133712
Al-Ti,0,34,Al,16.124490622890754
Al-Ti,0,35,Al,16.63658173675444
Al-Ti,0,36,Al,16.17235789419405
Al-Ti,0,37,Ti,16.580623623803216
Al-Ti,0,38,Ti,16.32615111329428
Al-Ti,0,39,Al,16.45465385670469
Al-Ti,0,40,Ti,16.495236919871413
Al-Ti,0,41,Al,16.978063884761255
Al-Ti,0,42,Ti,16.651024892509827
Al-Ti,0,43,Al,16.532547013641956
Al-Ti,0,44,Al,16.814367903055302
Al-Ti,0,45,Ti,16.764962618496167
Al-Ti,0,46,Ti,16.637024006315052
Al-Ti,0,47,Ti,16.34855060785942
Al-Ti,0,48,Al,16.27672829293539
Al-Ti,0,49,Al,16.002845511318018
Al-Ti,0,50,Al,16.417611282244383
Al-Ti,0,51,Al,16.54209056225925
Al-Ti,0,52,Ti,16.282820929232063
Al-Ti,0,53,Al,16.8442243514324
