dir,status,volume_returncode,relax_returncode,static_returncode,energy_source,energy_eV,free_energy_TOTEN_eV,lattice_type,atoms_per_cubic_cell,natoms,volume_A3,a_lattice_A,a_bcc_A,cell_a_A,cell_b_A,cell_c_A,relax_converged,note,structure_root,case_dir
Mg4Pd12,OK,0,0,0,static_OUTCAR,-74.3989044300,-74.4007101700,bcc,2.0,16,253.08959137,3.16272501,3.16272501,6.32545002,6.32545002,6.32545002,yes,CLEANED:0,BCC_SQS,Mg4Pd12
Mg4Pt12,OK,0,0,0,static_OUTCAR,-84.2223093800,-84.2239800700,bcc,2.0,16,256.13807691,3.17537279,3.17537279,6.35074558,6.35074558,6.35074558,yes,CLEANED:0,BCC_SQS,Mg4Pt12
Mg4Re12,OK,0,0,0,static_OUTCAR,-151.3648419500,-151.3651392500,bcc,2.0,16,243.25027395,3.12119654,3.12119654,6.24239308,6.24239308,6.24239308,yes,CLEANED:0,BCC_SQS,Mg4Re12
Mg4Rh12,OK,0,0,0,static_OUTCAR,-93.7582526500,-93.7617985300,bcc,2.0,16,237.36126098,3.09580277,3.09580277,6.19160554,6.19160554,6.19160554,yes,CLEANED:0,BCC_SQS,Mg4Rh12
Mg4Ru12,OK,0,0,0,static_OUTCAR,-112.5862629100,-112.5858444000,bcc,2.0,16,232.25916421,3.07346042,3.07346042,6.14692083,6.14692083,6.14692083,yes,CLEANED:0,BCC_SQS,Mg4Ru12
Mg4Sc12,OK,0,0,0,static_OUTCAR,-79.9083734300,-79.9106895200,bcc,2.0,16,387.28112833,3.64456289,3.64456289,7.28912579,7.28912579,7.28912579,yes,CLEANED:0,BCC_SQS,Mg4Sc12
Mg4Si12,OK,0,0,0,static_OUTCAR,-66.0042775000,-66.0063209700,bcc,2.0,16,258.05427729,3.18327158,3.18327158,6.36654316,6.36654316,6.36654316,yes,CLEANED:0,BCC_SQS,Mg4Si12
Mg4Sn12,OK,0,0,0,static_OUTCAR,-51.6838910600,-51.6835841300,bcc,2.0,16,420.37116497,3.74553889,3.74553889,7.49107778,7.49107778,7.49107778,yes,CLEANED:0,BCC_SQS,Mg4Sn12
Mg4Ta12,OK,0,0,0,static_OUTCAR,-144.3306278000,-144.3311090500,bcc,2.0,16,295.33131120,3.32971070,3.32971070,6.65942141,6.65942141,6.65942141,yes,CLEANED:0,BCC_SQS,Mg4Ta12
Mg4Tb12,OK,0,0,0,static_OUTCAR,-60.0955135300,-60.0934385500,bcc,2.0,16,482.22187121,3.92089885,3.92089885,7.84179771,7.84179771,7.84179771,yes,CLEANED:0,BCC_SQS,Mg4Tb12
Mg4Ti12,OK,0,0,0,static_OUTCAR,-97.1136794900,-97.1123697800,bcc,2.0,16,288.50065036,3.30383946,3.30383946,6.60767893,6.60767893,6.60767893,yes,CLEANED:0,BCC_SQS,Mg4Ti12
