directory,type,element_A,element_B,lattice_constant_A,energy_per_atom,magnetization
Cd1Si1,B2,Cd,Si,3.429424717704184,-2.5794928,-3e-06
Cd1Sn1,B2,Cd,Sn,3.721734671263385,-2.24733715,-4e-07
Cd1Sr1,B2,Cd,Sr,4.069419397249426,-1.52023755,-1.4e-06
Cd1Ta1,B2,Cd,Ta,3.3583986959329337,-5.6731965,1.03e-05
Cd1Tc1,B2,Cd,Tc,3.239705678088738,-4.7832655,-3.9e-06
Cd1Ti1,B2,Cd,Ti,3.347411019117745,-4.185976,-3e-07
Cd1V1,B2,Cd,V,3.3357162635268645,-4.3026681,2.7925069
Cd1W1,B2,Cd,W,3.2793518876361247,-5.697881,-0.0
Cd1Y1,B2,Cd,Y,3.7422976510860106,-3.96535455,6.2e-06
Cd1Zn1,B2,Cd,Zn,3.3983970526870317,-0.83934955,-0.0
Cd1Zr1,B2,Cd,Zr,3.5185933349399496,-4.74077605,-2.6e-06
Ce1Ag1,B2,Ce,Ag,3.7163102823226257,-4.40093865,1.2661175
Ce1Al1,B2,Ce,Al,3.657710779813822,-5.0654245,-0.0010741
Ce1As1,B2,Ce,As,3.6165140029251295,-6.424241,0.8993194
Ce1B1,B2,Ce,B,3.2368118874396714,-6.091374,0.5984212
Ce1Ca1,B2,Ce,Ca,4.153766233589035,-3.5037043,0.0069581
Ce1Cd1,B2,Ce,Cd,3.8394211317664078,-3.4660682,-1.3654821
Ce1Ce1,B2,Ce,Ce,3.766972106247604,-5.7103095,1.32e-05
Ce1Cr1,B2,Ce,Cr,3.3775891687571318,-7.203529,0.4688624
Ce1Cu1,B2,Ce,Cu,3.502897155193142,-4.85663315,0.001458
Ce1Fe1,B2,Ce,Fe,3.3376073290404875,-6.976511,0.0005855
