structure,element_A,element_B,selected_source,available_sources,n_entries,a_mean,a_cv,Omega_sf_King
B2,Er,W,OQMD,OQMD,1,3.4693,,-0.102201
B2,Er,Y,OQMD,OQMD,1,3.99268,,-0.000451
B2,Er,Zn,MP,MP+OQMD,1,3.507898,,-0.058889
B2,Er,Zr,OQMD,OQMD,1,3.731649,,-0.036616
B2,Fe,Hf,OQMD,OQMD+VASP,1,3.125359,,-0.104433
B2,Fe,Ir,OQMD,OQMD,1,3.001921,,0.043226
B2,Fe,La,VASP,VASP,2,3.547529,1.5e-05,-0.087824
B2,Fe,Mg,OQMD,OQMD+VASP,1,3.12452,,-0.128869
B2,Fe,Mn,OQMD,OQMD+VASP,1,2.797461,,-0.087287
B2,Fe,Mo,OQMD,OQMD+VASP,1,3.003819,,-0.009348
B2,Fe,Nb,OQMD,OQMD+VASP,1,3.068642,,-0.028834
B2,Fe,Ni,OQMD,OQMD+VASP,1,2.827374,,-0.005056
B2,Fe,Os,OQMD,OQMD,1,2.953291,,0.000209
B2,Fe,Pb,OQMD,OQMD,1,3.388058,,-0.07615
B2,Fe,Pd,OQMD,OQMD+VASP,1,3.042715,,0.063332
B2,Fe,Pt,OQMD,OQMD,1,3.05127,,0.057202
B2,Fe,Re,OQMD,OQMD,1,2.967564,,-0.013377
B2,Fe,Rh,MP,MP+OQMD,1,2.992093,,0.049239
B2,Fe,Ru,OQMD,OQMD+VASP,1,2.951378,,0.014257
B2,Fe,Sc,OQMD,OQMD+VASP,1,3.140863,,-0.157178
B2,Fe,Sn,OQMD,OQMD+VASP,1,3.173156,,-0.177155
B2,Fe,Ta,OQMD,OQMD+VASP,1,3.061631,,-0.036641
B2,Fe,Tb,OQMD,OQMD,1,3.395938,,-0.107206
B2,Fe,Ti,MP,MP+OQMD+VASP,1,2.938681,,-0.137536
B2,Fe,V,MP,MP+OQMD+VASP,1,2.939506,,-0.007836
B2,Fe,W,OQMD,OQMD+VASP,1,3.010438,,-0.012423
B2,Fe,Y,OQMD,OQMD+VASP,1,3.406214,,-0.117741
B2,Fe,Zn,OQMD,OQMD+VASP,1,2.93134,,-0.066513
B2,Fe,Zr,OQMD,OQMD+VASP,1,3.164894,,-0.095669
B2,Hf,Ir,MP,MP+OQMD,1,3.262115,,-0.048086
B2,Hf,La,OQMD,OQMD+VASP,1,3.818804,,-0.063708
B2,Hf,Mg,MP,MP+OQMD+VASP,1,3.487394,,-0.068902
B2,Hf,Mn,OQMD,OQMD+VASP,1,3.147837,,-0.096474
B2,Hf,Mo,OQMD,OQMD+VASP,1,3.318622,,-0.035524
B2,Hf,Nb,OQMD,OQMD+VASP,1,3.415587,,-0.010994
B2,Hf,Ni,OQMD,OQMD+VASP,1,3.177469,,-0.035254
B2,Hf,Os,MP,MP+OQMD,1,3.243465,,-0.059729
B2,Hf,Pb,OQMD,OQMD,1,3.611045,,-0.105376
B2,Hf,Pd,MP,MP+OQMD+VASP,1,3.305584,,-0.024529
B2,Hf,Pt,MP,MP+OQMD,1,3.329778,,-0.013055
B2,Hf,Re,OQMD,OQMD,1,3.269642,,-0.055902
B2,Hf,Rh,MP,MP+OQMD,1,3.249047,,-0.049023
B2,Hf,Ru,MP,MP+OQMD+VASP,1,3.22513,,-0.065127
B2,Hf,Sc,OQMD,OQMD+VASP,1,3.568419,,-0.039327
B2,Hf,Sn,OQMD,OQMD+VASP,1,3.539445,,-0.101772
B2,Hf,Ta,OQMD,OQMD+VASP,1,3.416587,,-0.011009
B2,Hf,Tb,OQMD,OQMD,1,3.73391,,-0.043078
B2,Hf,Ti,OQMD,OQMD+VASP,1,3.381129,,-0.032727
B2,Hf,V,OQMD,OQMD+VASP,1,3.305014,,-0.000967
B2,Hf,W,OQMD,OQMD+VASP,1,3.329617,,-0.032721
B2,Hf,Y,OQMD,OQMD+VASP,1,3.752081,,-0.045324
B2,Hf,Zn,MP,MP+OQMD+VASP,1,3.275105,,-0.06368
B2,Hf,Zr,OQMD,OQMD+VASP,1,3.551444,,-0.017493
B2,Ir,La,OQMD,OQMD,1,3.59792,,-0.092509
B2,Ir,Mg,OQMD,OQMD,1,3.111796,,-0.194214
B2,Ir,Mn,OQMD,OQMD,1,3.031592,,0.05678
B2,Ir,Mo,OQMD,OQMD,1,3.144062,,0.045109
B2,Ir,Nb,OQMD,OQMD,1,3.210782,,0.030104
B2,Ir,Ni,OQMD,OQMD,1,2.933512,,0.00591
B2,Ir,Os,OQMD,OQMD,1,3.103704,,0.062772
B2,Ir,Pb,OQMD,OQMD,1,3.399419,,-0.11674
B2,Ir,Pd,OQMD,OQMD,1,3.105444,,0.037312
B2,Ir,Pt,OQMD,OQMD,1,3.126558,,0.044897
B2,Ir,Re,OQMD,OQMD,1,3.111554,,0.043591
B2,Ir,Rh,OQMD,OQMD,1,3.079343,,0.046237
B2,Ir,Ru,OQMD,OQMD,1,3.082583,,0.05647
B2,Ir,Sc,MP,MP+OQMD,1,3.218386,,-0.14833
B2,Ir,Sn,OQMD,OQMD,1,3.291985,,-0.134251
B2,Ir,Ta,OQMD,OQMD,1,3.211019,,0.029179
B2,Ir,Tb,OQMD,OQMD,1,3.435308,,-0.123338
B2,Ir,Ti,MP,MP+OQMD,1,3.121637,,-0.043543
