Alloy,No,S_Phase,Phase,a (Å),delta,Tm (K),Hmix (kJ/mol),Elec_nega,D_elec_nega,VEC,d_VEC,BulkModulus (GPa)
AlEr2,2,IM,IM,1.648,0.092679044136101,1512.49,-33.7777777777778,1.36333333333333,0.174419672692682,10.3333333333333,5.18544972870135,54.6666666666667
Al2Fe,2,IM,IM,1.36833333333333,0.0658014105757031,1225.98,-9.77777777777778,1.68333333333333,0.103708994574027,4.66666666666667,2.35702260395516,107.333333333333
Al3In,2,IM,IM,1.464,0.0378590340452214,807.54,5.25,1.6525,0.0736121593216773,3.0,0.0,57.0
Al2La,2,IM,IM,1.581,0.133281354075643,1019.98,-33.7777777777778,1.44,0.240416305603426,3.0,0.0,60.0
AlLa,2,IM,IM,1.6555,0.135004530353368,1063.235,-38.0,1.355,0.255,3.0,0.0,52.0
Al4Li9,2,IM,IM,1.49292307692308,0.0272052761747733,601.286923076923,-3.40828402366864,1.17384615384615,0.290769230769231,1.61538461538462,0.923076923076923,31.0
Al12Mg17,2,IM,IM,1.53106896551724,0.0543637037194541,927.332413793103,-1.94054696789536,1.43413793103448,0.147753691625025,2.41379310344828,0.492512305416748,57.8275862068965
Al3Mg2,2,IM,IM,1.4996,0.0552098915084499,929.282,-1.92,1.49,0.146969384566991,2.6,0.489897948556636,63.6
Al11Mn4,2,IM,IM,1.41013333333333,0.0257151316952668,1089.61133333333,-14.8622222222222,1.594,0.0265329983228432,4.06666666666667,1.76886655485621,87.7333333333333
Al2Mn,2,IM,IM,1.40466666666667,0.0275191058648774,1128.64666666667,-16.8888888888889,1.59,0.0282842712474619,4.33333333333333,1.88561808316413,90.6666666666667
Al4Mn,2,IM,IM,1.4156,0.0231703871150042,1050.576,-12.16,1.598,0.024,3.8,1.6,84.8
Al6Mn,2,IM,IM,1.42028571428571,0.0202029932516818,1017.11714285714,-9.30612244897959,1.60142857142857,0.020995626366713,3.57142857142857,1.39970842444753,82.2857142857143
Al8Mn5,2,IM,IM,1.40046153846154,0.0284858583031755,1158.67384615385,-17.9881656804734,1.58692307692308,0.0291902553246312,4.53846153846154,1.94601702164208,92.9230769230769
Al9Mn11,2,IM,IM,1.3869,0.0294141502064831,1255.5115,-18.81,1.577,0.0298496231131986,5.2,1.98997487421324,100.2
AlMn,2,IM,IM,1.391,0.0294751976994967,1226.235,-19.0,1.58,0.03,5.0,2.0,98.0
AlMo,2,IM,IM,1.441,0.00624566273421234,1914.735,-5.0,1.885,0.275,4.5,1.5,153.0
AlNd,2,IM,IM,1.641,0.127361365021329,1115.235,-38.0,1.375,0.235,4.5,1.5,54.0
AlNi,2,IM,IM,1.339,0.0694548170276326,1330.735,-22.0,1.76,0.15,6.5,3.5,128.0
AlRe2,2,IM,IM,1.394,0.0192755076650565,2617.15666666667,-8.0,1.80333333333333,0.136707311029399,5.66666666666667,1.88561808316413,272.0
Al13Ru4,2,IM,IM,1.40988235294118,0.0282811932487996,1327.24176470588,-15.1141868512111,1.74882352941176,0.2502676767675,4.17647058823529,2.12091251497882,109.882352941176
Al2Ru,2,IM,IM,1.40066666666667,0.0316363814524204,1491.31333333333,-18.6666666666667,1.80666666666667,0.278128667266709,4.66666666666667,2.35702260395516,124.0
Al3Ru2,2,IM,IM,1.3944,0.0330252489703985,1602.882,-20.16,1.846,0.289039789648415,5.0,2.44948974278318,133.6
Al17Sb3,2,IM,IM,1.4167,0.0257085374359911,929.0165,1.02,1.676,0.157111425427943,3.3,0.714142842854285,70.9
AlSb,2,IM,IM,1.381,0.0369297610427226,918.625,2.0,1.83,0.22,4.0,1.0,59.0
Al11Sm3,2,IM,IM,1.48085714285714,0.0631757806005533,1021.655,-25.5918367346939,1.51571428571429,0.180543397462624,4.07142857142857,2.05162951662072,67.8571428571429
Al2Sm,2,IM,IM,1.508,0.0712733625599172,1070.64666666667,-33.7777777777778,1.46333333333333,0.207417989148054,4.66666666666667,2.35702260395516,63.3333333333333
Al3Ti,2,IM,IM,1.4395,0.00902423136975796,1185.3525,-22.5,1.5925,0.0303108891324554,3.25,0.433012701892219,84.5
AlTi,2,IM,IM,1.447,0.0103662750518314,1437.235,-30.0,1.575,0.035,3.5,0.5,93.0
Al3V,2,IM,IM,1.403,0.0358014778471115,1245.8525,-12.0,1.615,0.0086602540378443,3.5,0.866025403784439,97.0
Al8V5,2,IM,IM,1.38738461538462,0.0406768916144967,1414.05846153846,-15.1479289940828,1.61769230769231,0.0097300851082103,3.76923076923077,0.97300851082104,108.307692307692
Al3Yb,2,IM,IM,1.499,0.0774165471028117,974.3525,-15.0,1.4825,0.220836477965032,2.75,0.433012701892219,64.75
Al2Zr3,2,IM,IM,1.5346,0.0545891758133617,1650.188,-42.24,1.442,0.137171425595858,3.6,0.489897948556636,30.4
Al3Zr,2,IM,IM,1.47475,0.0502086265628544,1232.1025,-33.0,1.54,0.121243556529821,3.25,0.433012701892219,57.0
Al3Zr4,2,IM,IM,1.52971428571429,0.0553195158935895,1616.05857142857,-43.1020408163265,1.45,0.13856406460551,3.57142857142857,0.494871659305394,32.5714285714286
AuBe5,2,IM,IM,1.17366666666667,0.10224565304671,1522.88833333333,0.0,1.73166666666667,0.361497656362466,3.5,3.35410196624968,145.0
Au2Bi,2,IM,IM,1.49466666666667,0.0498317892183205,1073.12,1.77777777777778,2.36666666666667,0.245130350811336,9.0,2.82842712474619,157.0
AuCu,2,IM,IM,1.36,0.0602941176470588,1347.55,-9.0,2.22,0.32,11.0,0.0,180.0
AuCu3,2,IM,IM,1.319,0.0538393351859924,1352.66,-6.75,2.06,0.27712812921102,11.0,0.0,160.0
AuGa2,2,IM,IM,1.40866666666667,0.016732294869535,647.716666666667,-16.8888888888889,2.05333333333333,0.344125300177453,5.66666666666667,3.77123616632825,73.3333333333333
Au3In2,2,IM,IM,1.4892,0.0388181291496663,974.298,-10.56,2.236,0.372322440903043,7.8,3.91918358845309,132.0
