year,title,authors,journal,volume,issue,pages,doi,type,cited_by,open_access,openalex_id,reason
2005,Effect of tetragonal distortion introduced by anti-site defect configuration on additional hardening in off-stoichiometric Al-rich Ni3Al alloys,Seiji Miura; Satoshi Takizawa; Tomoo Suzuki; Yoshinao Mishima; Tetsuo Mohri,Acta Materialia,53,19,5175-5181,10.1016/j.actamat.2005.07.026,article,9,,W2090945403,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2005,Effects of Zr on the eutectoid decomposition behavior of Nb3Si into (Nb)/Nb5Si3,Seiji Miura; Miki Aoki; Yasuhiko Saeki; Kenji Ohkubo; Tetsuo Mohri; Yoshinao Mishima,Metallurgical and Materials Transactions A,36,3,489-496,10.1007/s11661-005-0162-8,article,61,,W2007805968,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2005,High temperature deformation and extended plasticity in Mg single crystals,Hiromi Miura; Xuyue Yang; Takuo Sakai; Hiroshi Nogawa; Seiji Miura; Y. Watanabe; John J. Jonas,The Philosophical Magazine A Journal of Theoretical Experimental and Applied Physics,85,30,3553-3565,10.1080/14786430500228440,article,38,,W2017951614,所属確認済み（北海道大学）
2005,Investigation on the Microstructure and High Temperature Mechanical Properties of Al3Ti-Mo3Al Two-Phase Alloys,Seiji Miura; Hiroyuki Shimamura; Kenji Ohkubo; Tetsuo Mohri,Materials science forum,475-479,,837-840,10.4028/www.scientific.net/msf.475-479.837,article,2,https://doi.org/10.4028/www.scientific.net/msf.475-479.837,W2241960349,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2005,Investigation on the Microstructure and High Temperature Mechanical Properties of Al3Ti-Mo3Al Two-Phase Alloys,Seiji Miura; Hiroyuki Shimamura; Kenji Ohkubo; Tetsuo Mohri,Materials science forum,,,837-840,10.4028/0-87849-960-1.837,book-chapter,0,https://doi.org/10.4028/0-87849-960-1.837,W4205505384,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2005,"Mechanical Properties of (Pt, Ir)Ti",Yoko Yamabe‐Mitarai; Toru Hara; Seiji Miura; Hideki Hosoda,Materials science forum,475-479,,1987-1990,10.4028/www.scientific.net/msf.475-479.1987,article,4,https://doi.org/10.4028/www.scientific.net/msf.475-479.1987,W2077854893,所属確認済み（北海道大学）
2005,"Phase Equilibria in Ir‐Rich Portion of Ir—Al—X (X: V, Nb and Ta) Ternary Systems.",Seiji Miura; Kenji Ohkubo; Yoshihiro Terada; Yoshisato Kimura; Yoshinao Mishima; Yoko Yamabe‐Mitarai; Hiroshi Harada; Tetsuo Mohri,ChemInform,36,34,,10.1002/chin.200534017,article,0,,W2950049169,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2005,"Phase Equilibria in the Ir‐Rich Portion of the Ir—Al—X (X: Ti, Zr and Hf) Ternary Systems.",Seiji Miura; Kenji Ohkubo; Yoshihiro Terada; Yoshisato Kimura; Yoshinao Mishima; Yoko Yamabe‐Mitarai; Hiroshi Harada; Tetsuo Mohri,ChemInform,36,29,,10.1002/chin.200529019,article,0,,W2950692625,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2005,"Phase equilibria in Ir-rich portion of Ir–Al–X (X: V, Nb and Ta) ternary systems",Seiji Miura; Kenji Ohkubo; Yoshihiro Terada; Yoshisato Kimura; Yoshinao Mishima; Yoko Yamabe‐Mitarai; Hiroshi Harada; Tetsuo Mohri,Journal of Alloys and Compounds,395,1-2,263-271,10.1016/j.jallcom.2004.11.029,article,20,,W1969501388,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2005,Phenomenological calculation of the Fe-Pd-based L10-ordered phase in the Fe-Pd-Ni ternary system,Tatsuo Horiuchi; M. Igarashi; Fujio Abe; Kenji Ohkubo; Seiji Miura; Tetsuo Mohri,Metallurgical and Materials Transactions A,36,8,1999-2006,10.1007/s11661-005-0320-z,article,7,,W2024731191,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2005,"Potentials of Shape Memory Effect in (Pt, Ir)-50 at%Ti",Yoko Yamabe‐Mitarai; Toru Hara; Seiji Miura; Hideki Hosoda,Journal of the Japan Institute of Metals and Materials,69,8,634-642,10.2320/jinstmet.69.634,article,7,https://www.jstage.jst.go.jp/article/jinstmet/69/8/69_8_634/_pdf,W362847443,所属確認済み（北海道大学）
2005,Structural stability of NiAl with the L10 structure and local lattice distortion in the Ni3Al alloy around excess Al atoms,Satoshi Takizawa; Seiji Miura; Tetsuo Mohri,Intermetallics,13,11,1137-1140,10.1016/j.intermet.2004.09.017,article,19,,W1996578116,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2004,Effect of Microstructure and Zr Addition on the Crystallographic Orientation Relationships among Phases related to the Eutectoid Decomposition of Nb3Si in near Eutectic Nb-Si alloy,Seiji Miura; Kenji Ohkubo; Tetsuo Mohri,MRS Proceedings,842,,,10.1557/proc-842-s5.31,article,2,,W2152559216,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
2004,Effects of microstructure on high temperature mechanical properties of Al3Ti–Mo3Al two-phase intermetallic alloys,Seiji Miura; Hiroyuki Shimamura; Juri Fujinaka; Tetsuo Mohri,Intermetallics,12,7-9,771-777,10.1016/j.intermet.2004.02.018,article,11,,W2095307805,主要共著者（Mishima/Suzuki/Mohri/Ohkubo/Liu等）が一致
