material_id,formula,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull
mp-1185312,LiCu3,Li,Cu,1.0,3.0,3.59246704,-8.7368839975,0.0061642299999990005
mp-863257,LiGa3,Li,Ga,1.0,3.0,4.071548,-9.424266587000002,0.008717875749999
mp-976599,LiHg3,Li,Hg,1.0,3.0,4.42729552,-37.79389561,0.029448351250003002
mp-863027,LiIn3,Li,In,1.0,3.0,4.4928506,-17.741741085,0.0
mp-1094670,LiMg3,Li,Mg,1.0,3.0,4.411069,-3.7314918175000003,0.033975171250000005
mp-861936,LiPd3,Li,Pd,1.0,3.0,3.8508382400001375,-18.0750049275,0.0
mp-861931,LiPt3,Li,Pt,1.0,3.0,3.85327292,-39.69389888,0.0
mp-973191,LiTl3,Li,Tl,1.0,3.0,4.69762631,-40.5679174775,0.041037442499998
mp-1185427,Lu3Al,Lu,Al,3.0,1.0,4.62654991,-30.465055115,0.014231470000002001
mp-1185440,Lu3Cd,Lu,Cd,3.0,1.0,4.760901,-33.69197469166667,0.07151996249999801
mp-1185438,Lu3Hg,Lu,Hg,3.0,1.0,4.714644,-41.089523631666665,0.08639078000000201
mp-976949,Lu3In,Lu,In,3.0,1.0,4.71722398,-34.5183749525,0.016917669583335
mp-2805,LuAl3,Lu,Al,1.0,3.0,4.16854226,-15.0063183675,0.0
mp-495,LuGa3,Lu,Ga,1.0,3.0,4.17751793,-18.6156986125,0.0
mp-977,LuIn3,Lu,In,1.0,3.0,4.5739179100000005,-26.8843346525,0.0
mp-1185492,LuMg3,Lu,Mg,1.0,3.0,4.58819737,-2.3561466775,0.012427005000001
mp-1185497,LuNi3,Lu,Ni,1.0,3.0,3.790145,-18.83301272916667,0.081896905833332
mp-11494,LuPb3,Lu,Pb,1.0,3.0,4.8259464,-4.091959362499999,0.022627460000002
mp-1158,LuPd3,Lu,Pd,1.0,3.0,4.04353158,-27.704613355,0.0
mp-790,LuPt3,Lu,Pt,1.0,3.0,4.04578667,-49.320240915,0.0
mp-865802,LuRh3,Lu,Rh,1.0,3.0,3.9650849336959366,-28.2675707025,0.0
mp-973556,LuTh3,Lu,Th,1.0,3.0,5.02881203,-64.5870117125,0.039404945833339006
mp-2060,LuTl3,Lu,Tl,1.0,3.0,4.6879848200000005,-3.045223447499999,0.0
mp-978271,Mg3Al,Mg,Al,3.0,1.0,4.34780604,-2.1373769575,0.027507425520833004
mp-1039073,Mg3Bi,Mg,Bi,3.0,1.0,4.58295308,-2.2760841025,0.030943198124997004
mp-978273,Mg3Cd,Mg,Cd,3.0,1.0,4.40608282,-1.496131523749999,0.017591733749999002
mp-978281,Mg3Ga,Mg,Ga,3.0,1.0,4.304658,-2.042011609999999,0.0316559375
mp-978282,Mg3Hg,Mg,Hg,3.0,1.0,4.35484442,-1.4148065975000002,0.017491376249999
mp-569125,Mg3In,Mg,In,3.0,1.0,4.457232,-1.9705152075,0.016354179999998
mp-1094724,Mg3Sb,Mg,Sb,3.0,1.0,4.522794,-2.448995885,0.07368902328125
mp-1185790,Mg3Sc,Mg,Sc,3.0,1.0,4.51314366,-2.82247212,0.0
mp-978294,Mg3Sn,Mg,Sn,3.0,1.0,4.44586173,-2.341383445,0.009186113749999001
mp-1185786,Mg3Tl,Mg,Tl,3.0,1.0,4.47311272,-1.811718324999999,0.017983151250000003
mp-1094791,Mg3Zn,Mg,Zn,3.0,1.0,4.27551733,-1.5346974125,0.056217993650000006
mp-1094792,Mg3Zr,Mg,Zr,3.0,1.0,4.44220523,-3.3009947025,0.05878296624999901
mp-30351,MgAg3,Mg,Ag,1.0,3.0,4.11836959,-2.675931858750001,0.010391439999999
mp-1185846,MgAu3,Mg,Au,1.0,3.0,4.10652732,-3.246694702500001,0.016649699499997003
mp-1094839,MgCd3,Mg,Cd,1.0,3.0,4.39498222,-1.156844395,0.018096665416667
mp-1094969,MgGa3,Mg,Ga,1.0,3.0,4.12839799,-2.759798495,0.0201069496875
mp-1185880,MgHg3,Mg,Hg,1.0,3.0,4.47534766,-0.694285864999997,0.044199923749998
mp-20566,MgIn3,Mg,In,1.0,3.0,4.58837626,-2.477198014999999,0.037806169166668006
mp-1063661,MgNi3,Mg,Ni,1.0,3.0,3.642681999999999,-4.8069923875,0.09358975781250001
mp-7753,MgPd3,Mg,Pd,1.0,3.0,3.93603295,-4.769774883749992,0.01137175124999
mp-30777,MgPt3,Mg,Pt,1.0,3.0,3.93036214,-5.531244832499993,0.0
mp-1094802,MgSn3,Mg,Sn,1.0,3.0,4.67027376,-3.4429126474999983,0.034545789375002
mp-1094867,MgZn3,Mg,Zn,1.0,3.0,3.96628632,-1.3994066475,0.051993237976188
mp-1094768,MgZr3,Mg,Zr,1.0,3.0,4.48063888,-6.799126430000001,0.019266546249998
mp-20139,Mn3Ge,Mn,Ge,3.0,1.0,3.651498,-8.06660867,0.035770389999999
mp-1636,Mn3Sb,Mn,Sb,3.0,1.0,3.813382,-17.50821850284483,0.092418744784481
mp-1206376,MnAu3,Mn,Au,1.0,3.0,4.081319,-41.8070853175,0.086135026250005
mp-973292,MnBe3,Mn,Be,1.0,3.0,3.251743840000326,-5.2739536825,0.010523769750001001
mp-11501,MnNi3,Mn,Ni,1.0,3.0,3.5434492,-12.89325635,0.0
mp-1180,MnPt3,Mn,Pt,1.0,3.0,3.91096353,-7.1975072125,0.0
mp-11504,MnZn3,Mn,Zn,1.0,3.0,3.80888421,-10.4710020125,0.0
