entry_id,formula,element_A,element_B,count_A,count_B,lattice_constant,delta_e,stability,volume,natoms
18175,YbTl3,Yb,Tl,1,3,4.76556665789008,-0.25977716625,0.0,108.229,4
13815,Ni3Sb,Ni,Sb,3,1,3.7294892049952004,-0.128388716250001,0.0414576987499993,51.8738,4
29575,CrPt3,Cr,Pt,1,3,3.8982174628452992,-0.254736625,0.0015777425000008116,59.2377,4
17206,DySn3,Dy,Sn,1,3,4.692140175525884,-0.487087984305069,0.030662774999999975,103.303,4
17988,YbPd3,Yb,Pd,1,3,4.055501338557811,-0.69754859,0.0,66.7012,4
17981,TmPd3,Tm,Pd,1,3,4.07367026004751,-0.92451966,0.0014887550000000083,67.6017,4
21315,Al3V,Al,V,3,1,3.8978225846814603,-0.1433416,0.1389778425,59.2197,4
17945,ScPd3,Sc,Pd,1,3,3.9934580565768893,-0.85439362875,0.0,63.6865,4
17179,DyGa3,Dy,Ga,1,3,4.2647084384121206,-0.526345412916668,0.007079151249999249,77.5654,4
10537,NpAl3,Np,Al,1,3,4.252179735386436,-0.0962618446875005,0.021344041874999525,76.8838,4
17405,Li3Hg,Li,Hg,3,1,4.047429146250677,-0.271053471241567,0.003872851250000253,66.3037,4
17947,SmPd3,Sm,Pd,1,3,4.147872330745149,-0.825939259375001,0.0021758924999990548,71.3635,4
17972,TiPd3,Ti,Pd,1,3,3.907033112327023,-0.641766360946566,0.007792608749999985,59.6405,4
17468,HoPd3,Ho,Pd,1,3,4.090640956612114,-0.904235833333333,0.001724717500000028,68.4501,4
30363,UGa3,U,Ga,1,3,4.2536264318699955,-0.225247895,0.00032668499999999323,76.9623,4
17918,PuPb3,Pu,Pb,1,3,4.885602608588553,-0.1681913425,0.0,116.615,4
10768,Li3Au,Li,Au,3,1,3.920169453316185,-0.41273244,0.0038536087500001814,60.2441,4
17196,ErSn3,Er,Sn,1,3,4.682521469798094,-0.452167857638401,0.02618280039360016,102.669,4
30123,EuPb3,Eu,Pb,1,3,4.915003299562753,-0.461442005,0.00153450250000009,118.733,4
10999,Ca3Pb,Ca,Pb,3,1,5.051925547439225,-0.3912271775,0.03392165562500049,128.935,4
17472,HoPt3,Ho,Pt,1,3,4.0913898230419505,-1.03721596583333,0.001626950000000127,68.4877,4
17728,NaPb3,Na,Pb,1,3,4.927074889944166,-0.147622507712912,0.0,119.61,4
29096,CeH3,Ce,H,1,3,3.4631341399146667,-0.487018281013131,0.02167996000000011,41.5344,4
17477,HoSn3,Ho,Sn,1,3,4.686607415231691,-0.470020038471734,0.03527483375000007,102.938,4
17953,SnPd3,Sn,Pd,1,3,4.009093892943308,-0.5312744217128,0.010156242500000356,64.4375,4
17465,HoPb3,Ho,Pb,1,3,4.845814222505677,-0.254535128333333,0.00974281749999939,113.789,4
30302,NbGa3,Nb,Ga,1,3,4.000747776865395,-0.30627533375,0.0,64.0359,4
10992,Ca3In,Ca,In,3,1,5.073695135581107,-0.23368193,0.08659040699796025,130.609,4
