Al_frac,C_frac,Co_frac,Cr_frac,Cu_frac,Fe_frac,Hf_frac,Mn_frac,Mo_frac,Nb_frac,Ni_frac,Si_frac,Ta_frac,Ti_frac,V_frac,Zr_frac,mean_atomic_radius_pm,std_atomic_radius_pm,atomic_size_mismatch_pct,mean_atomic_mass_gmol,std_atomic_mass_gmol,mean_electronegativity,std_electronegativity,VEC_avg,mixing_entropy_J_per_molK,mixing_entropy_over_R,n_elements,temperature_C,processing_ANNEAL,processing_CAST,processing_OTHER,processing_WROUGHT,phase_BCC,phase_FCC,phase_other,source_MPEA_dataset,test_type_T,year,yield_strength_MPa,ys_log10
0.07063197026022304,0.0,0.23234200743494424,0.23234200743494424,0.0,0.23234200743494424,0.0,0.0,0.0,0.0,0.23234200743494424,0.0,0.0,0.0,0.0,0.0,126.968401,4.643912,3.657533,54.291373,7.998293,1.805167,0.107631,7.879182,12.834606,1.543648,5,25.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2017,215.0,2.3324384599156054
0.07063197026022304,0.0,0.23234200743494424,0.23234200743494424,0.0,0.23234200743494424,0.0,0.0,0.0,0.0,0.23234200743494424,0.0,0.0,0.0,0.0,0.0,126.968401,4.643912,3.657533,54.291373,7.998293,1.805167,0.107631,7.879182,12.834606,1.543648,5,25.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2017,285.0,2.45484486000851
0.07063197026022304,0.0,0.23234200743494424,0.23234200743494424,0.0,0.23234200743494424,0.0,0.0,0.0,0.0,0.23234200743494424,0.0,0.0,0.0,0.0,0.0,126.968401,4.643912,3.657533,54.291373,7.998293,1.805167,0.107631,7.879182,12.834606,1.543648,5,25.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2017,263.0,2.419955748489758
0.07063197026022304,0.0,0.23234200743494424,0.23234200743494424,0.0,0.23234200743494424,0.0,0.0,0.0,0.0,0.23234200743494424,0.0,0.0,0.0,0.0,0.0,126.968401,4.643912,3.657533,54.291373,7.998293,1.805167,0.107631,7.879182,12.834606,1.543648,5,25.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2017,490.0,2.690196080028514
0.07063197026022304,0.0,0.23234200743494424,0.23234200743494424,0.0,0.23234200743494424,0.0,0.0,0.0,0.0,0.23234200743494424,0.0,0.0,0.0,0.0,0.0,126.968401,4.643912,3.657533,54.291373,7.998293,1.805167,0.107631,7.879182,12.834606,1.543648,5,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2009,175.0,2.2430380486862944
0.07063197026022304,0.0,0.23234200743494424,0.23234200743494424,0.0,0.23234200743494424,0.0,0.0,0.0,0.0,0.23234200743494424,0.0,0.0,0.0,0.0,0.0,126.968401,4.643912,3.657533,54.291373,7.998293,1.805167,0.107631,7.879182,12.834606,1.543648,5,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2009,305.0,2.484299839346786
0.07063197026022304,0.0,0.23234200743494424,0.23234200743494424,0.0,0.23234200743494424,0.0,0.0,0.0,0.0,0.23234200743494424,0.0,0.0,0.0,0.0,0.0,126.968401,4.643912,3.657533,54.291373,7.998293,1.805167,0.107631,7.879182,12.834606,1.543648,5,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2009,280.0,2.4471580313422194
0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,129.2,7.025667,5.437823,50.489839,12.01813,1.778,0.120565,7.2,13.381611,1.609438,5,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2017,900.0,2.9542425094393248
0.16996699669966997,0.0,0.0,0.16996699669966997,0.0,0.33003300330033003,0.0,0.0,0.0,0.0,0.33003300330033003,0.0,0.0,0.0,0.0,0.0,128.569307,6.672265,5.189625,51.225038,11.200505,1.790116,0.116876,7.470297,11.092648,1.334139,4,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2016,796.0,2.900913067737669
0.16787122207621552,0.0,0.16787122207621552,0.16787122207621552,0.0,0.16787122207621552,0.0,0.0,0.0,0.0,0.328515111695138,0.0,0.0,0.0,0.0,0.0,128.364652,6.713913,5.230344,51.807691,11.415214,1.799205,0.120625,7.649803,13.003801,1.563998,5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2017,545.0,2.7363965022766426
