config_index,n_fe,n_v,composition,converged,energy_per_atom_original,energy_per_atom_corrected,correction_applied,gf_function,formation_energy_Jmol
195,4,4,Fe4V4,True,-8.653807995,-8.653807995,0.0,GF4V056,-36647.56467674903
196,5,3,Fe5V3,True,-8.6220457575,-8.6220457575,0.0,GF3V053,-78771.76195736243
197,4,4,Fe4V4,True,-8.5919324325,-8.5919324325,0.0,GF4V057,11112.944505750309
198,4,4,Fe4V4,True,-8.7065761,-8.7065761,0.0,GF4V058,-77378.20956414918
199,3,5,Fe3V5,True,-8.77868642,-8.77868642,0.0,GF5V037,-66397.89020363646
200,5,3,Fe5V3,True,-8.62204768,-8.62204768,0.0,GF3V054,-78773.24589666181
201,4,4,Fe4V4,True,-8.7065759225,-8.7065759225,0.0,GF4V059,-77378.07255545017
202,4,4,Fe4V4,True,-8.59193230875,-8.59193230875,0.0,GF4V060,11113.040025900671
203,3,5,Fe3V5,True,-8.7786840025,-8.7786840025,0.0,GF5V038,-66396.024183737
204,4,4,Fe4V4,True,-8.6538083825,-8.6538083825,0.0,GF4V061,-36647.8637802491
205,3,5,Fe3V5,True,-8.7786828275,-8.7786828275,0.0,GF5V039,-66395.11722473738
206,3,5,Fe3V5,True,-8.7786848975,-8.7786848975,0.0,GF5V040,-66396.71501633657
207,2,6,Fe2V6,True,-8.932543985,-8.932543985,0.0,GF6V014,-118516.63431372501
208,5,3,Fe5V3,True,-8.64972378875,-8.64972378875,0.0,GF3V055,-100135.88071861227
209,4,4,Fe4V4,True,-8.7337238425,-8.7337238425,0.0,GF4V062,-98333.00904504949
210,4,4,Fe4V4,True,-8.73372373875,-8.73372373875,0.0,GF4V063,-98332.92896249902
211,3,5,Fe3V5,True,-8.7786824875,-8.7786824875,0.0,GF5V041,-66394.85478553623
212,4,4,Fe4V4,True,-8.73372370625,-8.73372370625,0.0,GF4V064,-98332.9038763997
213,3,5,Fe3V5,True,-8.77868153125,-8.77868153125,0.0,GF5V042,-66394.11667528616
214,3,5,Fe3V5,True,-8.80757139875,-8.80757139875,0.0,GF5V043,-88693.62760118634
215,2,6,Fe2V6,True,-8.89432396625,-8.89432396625,0.0,GF6V015,-89015.36624097524
216,4,4,Fe4V4,True,-8.73372372875,-8.73372372875,0.0,GF4V065,-98332.92124369976
217,3,5,Fe3V5,True,-8.80757140875,-8.80757140875,0.0,GF5V044,-88693.63531998698
218,3,5,Fe3V5,True,-8.77868345375,-8.77868345375,0.0,GF5V045,-66395.60061458692
219,2,6,Fe2V6,True,-8.89432527,-8.89432527,0.0,GF6V016,-89016.37257952418
220,3,5,Fe3V5,True,-8.7786819575,-8.7786819575,0.0,GF5V046,-66394.44568913666
221,2,6,Fe2V6,True,-8.89432506,-8.89432506,0.0,GF6V017,-89016.21048472448
222,2,6,Fe2V6,True,-8.89432484375,-8.89432484375,0.0,GF6V018,-89016.04356567506
223,1,7,Fe1V7,True,-8.96124821875,-8.96124821875,0.0,GF7V003,-74032.02509856291
224,5,3,Fe5V3,True,-8.649727085,-8.649727085,0.0,GF3V056,-100138.42502806231
225,4,4,Fe4V4,True,-8.73372361375,-8.73372361375,0.0,GF4V066,-98332.83247749927
226,4,4,Fe4V4,True,-8.7212927075,-8.7212927075,0.0,GF4V067,-88737.66456124953
227,3,5,Fe3V5,True,-8.77868398125,-8.77868398125,0.0,GF5V047,-66396.00778128633
228,4,4,Fe4V4,True,-8.73372393375,-8.73372393375,0.0,GF4V068,-98333.07947909913
229,3,5,Fe3V5,True,-8.77868176625,-8.77868176625,0.0,GF5V048,-66394.2980670861
230,3,5,Fe3V5,True,-8.80757143625,-8.80757143625,0.0,GF5V049,-88693.65654668736
231,2,6,Fe2V6,True,-8.8943290725,-8.8943290725,0.0,GF6V019,-89019.30765322434
232,4,4,Fe4V4,True,-8.73372375,-8.73372375,0.0,GF4V069,-98332.93764614906
233,3,5,Fe3V5,True,-8.8075717325,-8.8075717325,0.0,GF5V050,-88693.8852161364
234,3,5,Fe3V5,True,-8.77868156625,-8.77868156625,0.0,GF5V051,-66394.14369108703
235,2,6,Fe2V6,True,-8.89432748625,-8.89432748625,0.0,GF6V020,-89018.08325857518
236,3,5,Fe3V5,True,-8.7786817325,-8.7786817325,0.0,GF5V052,-66394.27201613736
237,2,6,Fe2V6,True,-8.89433103875,-8.89433103875,0.0,GF6V021,-89020.82536227445
238,2,6,Fe2V6,True,-8.8943289925,-8.8943289925,0.0,GF6V022,-89019.24590282471
239,1,7,Fe1V7,True,-8.91308240375,-8.91308240375,0.0,GF7V004,-36853.79581636227
240,4,4,Fe4V4,True,-8.73193377375,-8.73193377375,0.0,GF4V070,-96951.2907783001
