config_index,config_name,n_fe,n_v,converged,energy_per_atom,sro,sublattice_diff,E_vegard,E_deviation
124,config_124_Fe3V5,3.0,5.0,1.0,-8.734868145,-0.19999999999999996,0.25,-8.70505,-0.02981814500000013
125,config_125_Fe2V6,2.0,6.0,0.0,-6.04477026625,0.0,0.0,-8.7911,2.7463297337500006
126,config_126_Fe2V6,2.0,6.0,1.0,-8.84879229125,0.0,0.0,-8.7911,-0.05769229124999953
127,config_127_Fe1V7,1.0,7.0,1.0,-8.91308062625,1.0,-0.25,-8.87715,-0.035930626249999875
128,config_128_Fe7V1,7.0,1.0,0.0,-6.5758789,-1.0,0.25,-8.360850000000001,1.7849711000000008
129,config_129_Fe6V2,6.0,2.0,1.0,-8.475088215,0.0,0.0,-8.446900000000001,-0.02818821499999835
130,config_130_Fe6V2,6.0,2.0,1.0,-8.47505703,0.0,0.0,-8.446900000000001,-0.02815702999999914
131,config_131_Fe5V3,5.0,3.0,1.0,-8.42446789625,0.33333333333333337,-0.25,-8.53295,0.10848210374999923
132,config_132_Fe6V2,6.0,2.0,1.0,-8.28910702,0.0,0.0,-8.446900000000001,0.15779298000000175
133,config_133_Fe5V3,5.0,3.0,0.0,-8.42792600875,0.33333333333333337,-0.25,-8.53295,0.10502399125000039
134,config_134_Fe5V3,5.0,3.0,1.0,-8.431777355,0.33333333333333337,-0.25,-8.53295,0.10117264500000012
135,config_135_Fe4V4,4.0,4.0,1.0,-8.60764933625,0.5,-0.5,-8.619,0.011350663749999157
136,config_136_Fe6V2,6.0,2.0,1.0,-8.3486301075,0.0,0.0,-8.446900000000001,0.09826989250000118
137,config_137_Fe5V3,5.0,3.0,1.0,-8.43177669625,0.33333333333333337,-0.25,-8.53295,0.10117330375000044
138,config_138_Fe5V3,5.0,3.0,1.0,-8.4338366925,0.33333333333333337,-0.25,-8.53295,0.09911330749999969
139,config_139_Fe4V4,4.0,4.0,1.0,-8.61361793625,0.5,-0.5,-8.619,0.0053820637499999435
140,config_140_Fe5V3,5.0,3.0,0.0,-8.42747114125,0.33333333333333337,-0.25,-8.53295,0.10547885874999885
141,config_141_Fe4V4,4.0,4.0,1.0,-8.6073941475,0.5,-0.5,-8.619,0.011605852499998903
142,config_142_Fe4V4,4.0,4.0,1.0,-8.60737432125,0.5,-0.5,-8.619,0.011625678750000645
143,config_143_Fe3V5,3.0,5.0,1.0,-8.80011334625,1.0,-0.75,-8.70505,-0.09506334625000079
144,config_144_Fe6V2,6.0,2.0,0.0,-6.62412007375,-1.0,0.5,-8.446900000000001,1.8227799262500008
145,config_145_Fe5V3,5.0,3.0,1.0,-8.43177687,-0.33333333333333326,0.25,-8.53295,0.10117312999999939
146,config_146_Fe5V3,5.0,3.0,1.0,-8.43177699375,-0.33333333333333326,0.25,-8.53295,0.10117300624999892
147,config_147_Fe4V4,4.0,4.0,1.0,-8.56566681,0.0,0.0,-8.619,0.05333319000000003
148,config_148_Fe5V3,5.0,3.0,1.0,-8.5817388375,-0.33333333333333326,0.25,-8.53295,-0.04878883750000007
149,config_149_Fe4V4,4.0,4.0,0.0,-8.5658814,0.0,0.0,-8.619,0.05311859999999946
150,config_150_Fe4V4,4.0,4.0,1.0,-8.59734149875,0.0,0.0,-8.619,0.02165850125000013
151,config_151_Fe3V5,3.0,5.0,1.0,-8.73170518625,0.19999999999999996,-0.25,-8.70505,-0.026655186250000185
152,config_152_Fe5V3,5.0,3.0,1.0,-8.43177677125,-0.33333333333333326,0.25,-8.53295,0.10117322874999957
153,config_153_Fe4V4,4.0,4.0,1.0,-8.59734303875,0.0,0.0,-8.619,0.021656961250000606
154,config_154_Fe4V4,4.0,4.0,1.0,-8.56566568625,0.0,0.0,-8.619,0.05333431374999975
155,config_155_Fe3V5,3.0,5.0,0.0,-6.2671467325,0.19999999999999996,-0.25,-8.70505,2.4379032675000003
156,config_156_Fe4V4,4.0,4.0,1.0,-8.5656635025,0.0,0.0,-8.619,0.053336497500000135
157,config_157_Fe3V5,3.0,5.0,1.0,-8.73170195,0.19999999999999996,-0.25,-8.70505,-0.026651949999999758
158,config_158_Fe3V5,3.0,5.0,1.0,-8.7317033175,0.19999999999999996,-0.25,-8.70505,-0.02665331749999922
159,config_159_Fe2V6,2.0,6.0,0.0,-6.124252745,1.0,-0.5,-8.7911,2.6668472550000004
160,config_160_Fe6V2,6.0,2.0,0.0,-6.54925528,-1.0,0.5,-8.446900000000001,1.8976447200000015
161,config_161_Fe5V3,5.0,3.0,1.0,-8.43384076625,-0.33333333333333326,0.25,-8.53295,0.09910923374999925
