config_index,composition,n_v,x_V,sro_alpha,eta,y_V_A,y_V_B,dH_f_Jmol_corrected,dHf_deviation
185,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.75,0.5,-88693.69803523736,-6300.725667496357
186,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.75,0.5,-66394.8239103364,15998.148457404604
187,Fe2V6,6,0.75,0.0,0.0,0.75,0.75,-89016.94859497453,-21628.692923451177
188,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.75,0.5,-66395.60929823694,15997.363069504063
189,Fe2V6,6,0.75,0.0,0.0,0.75,0.75,-89019.92226267514,-21631.666591151792
190,Fe2V6,6,0.75,0.0,0.0,0.75,0.75,-89016.81641052388,-21628.56073900053
191,Fe1V7,7,0.875,-0.1428571428571428,0.25,0.75,1.0,-74035.15410711197,-33865.5762619472
192,Fe6V2,2,0.25,-0.33333333333333326,0.5,0.5,0.0,-97261.72306457526,-35768.9785023741
193,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.5,0.25,-78773.24589666181,-64.96797224717739
194,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.5,0.25,-78771.76195736243,-63.484032947788364
195,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,-36647.56467674903,49273.102145733974
196,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.5,0.25,-78771.76195736243,-63.484032947788364
197,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,11112.944505750307,97033.61132823331
198,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,-77378.20956414918,8542.45725833383
199,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.5,0.75,-66397.89020363646,15995.082164104548
200,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.5,0.25,-78773.24589666181,-64.96797224717739
201,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,-77378.07255545017,8542.594267032837
202,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,11113.040025900673,97033.70684838368
203,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.5,0.75,-66396.024183737,15996.94818400401
204,Fe4V4,4,0.5,0.0,0.0,0.5,0.5,-36647.8637802491,49272.80304223391
205,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.5,0.75,-66395.11722473738,15997.855143003631
206,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.5,0.75,-66396.71501633657,15996.257351404434
207,Fe2V6,6,0.75,-0.33333333333333326,0.5,0.5,1.0,-118516.634313725,-51128.37864220164
208,Fe5V3,3,0.375,-0.6000000000000001,0.75,0.75,0.0,-100135.88071861229,-21427.60279419765
209,Fe4V4,4,0.5,-0.25,0.5,0.75,0.25,-98333.00904504948,-12412.342222566469
210,Fe4V4,4,0.5,-0.25,0.5,0.75,0.25,-98332.92896249902,-12412.262140016013
211,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.75,0.5,-66394.85478553623,15998.11758220478
212,Fe4V4,4,0.5,-0.25,0.5,0.75,0.25,-98332.9038763997,-12412.237053916688
213,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.75,0.5,-66394.11667528616,15998.855692454847
214,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.75,0.5,-88693.62760118634,-6300.65523344533
215,Fe2V6,6,0.75,0.0,0.0,0.75,0.75,-89015.36624097524,-21627.110569451892
216,Fe4V4,4,0.5,-0.25,0.5,0.75,0.25,-98332.92124369976,-12412.254421216756
