system,phase,e_above_eV,hmix_eV,delta_r_percent,vec,a_vegard_A,a_pred_q1_A,shift_A,shift_percent
Co-Mn-Ni-Pd-V,BCC,-0.031,-0.116,1.7879487173599815,8.200000000000001,2.9281289719932437,2.9411192390163863,0.012990267023142543,0.4436371193820665
Co-Cr-Fe-Os-Ru,BCC,-0.054,-0.25,3.312693299999688,7.800000000000001,2.9225354846298224,2.941119705467825,0.018584220838002707,0.635893761965961
Co-Fe-Mn-Ni-Ta,BCC,-0.034,-0.061,2.6918398465999576,7.800000000000001,2.947440085081708,2.9411333392533248,-0.00630674582838342,-0.2139736736398693
Co-Fe-Mn-Nb-Ni,BCC,-0.03,-0.035,2.6918398465999576,7.800000000000001,2.94688745732242,2.941182898029002,-0.005704559293418399,-0.19357913649683908
Cr-Fe-Mo-Ni-V,BCC,-0.038,-0.005,2.691839846599948,7.0,2.9492500248061333,2.941201226195443,-0.008048798610690078,-0.27291001247746566
Cr-Cu-Ni-Os-Ru,BCC,-0.012,-0.191,2.792281631920852,8.6,2.9210048458857103,2.941354408452561,0.020349562566850832,0.6966630882353232
Fe-Mn-Ni-Os-Zn,BCC,-0.035,-0.233,2.7512186667455425,9.0,2.9489280793817647,2.9414903973911044,-0.007437681990660305,-0.2522164593522266
Al-Co-Fe-Mn-Os,BCC,-0.055,-0.367,4.351456637944253,7.0,2.9721572071970805,2.9415719950935943,-0.030585212103486192,-1.0290576834032898
Al-Co-Mn-Ni-Re,BCC,-0.036,-0.276,3.6559548399748927,7.2,2.9706470718820857,2.9417654874334187,-0.028881584448666953,-0.9722321012831966
Cr-Mn-Mo-Ni-V,BCC,-0.04,-0.056,2.691839846599948,6.800000000000001,2.955887886282497,2.9418489599775914,-0.014038926304905441,-0.47494786152263857
Cu-Fe-Ir-Ni-Zn,BCC,-0.028,-0.186,1.4705882352941169,10.0,2.945520348347252,2.9419790543696736,-0.003541293977578519,-0.12022643060556547
Co-Cr-Fe-Mn-Ta,BCC,-0.034,0.024,2.258769757263124,7.0,2.963726132888868,2.942038994198999,-0.02168713868986938,-0.7317524534134338
Cr-Fe-Mn-Mo-V,BCC,-0.038,-0.017,2.258769757263128,6.4,2.9685756905966927,2.9420640004867242,-0.026511690109968455,-0.8930777879084338
Co-Cr-Mn-V-W,BCC,-0.039,-0.008,1.7879487173599815,6.6000000000000005,2.9619642428765203,2.9422288407865103,-0.019735402090010012,-0.6662944070804825
Co-Ni-Ru-V-Zn,BCC,-0.036,-0.244,1.4925373134328357,8.8,2.956650703967713,2.942323380394422,-0.014327323573290585,-0.4845795126919748
Cu-Fe-Ni-Os-Ru,BCC,-0.028,-0.229,2.792281631920852,9.0,2.9173748847076086,2.942511967347751,0.02513708264014225,0.8616336135580872
Co-Cu-Fe-Rh-Ru,BCC,-0.022,-0.11,2.3424278964210146,9.0,2.9159485942028,2.942640011103624,0.026691416900824105,0.9153596518775857
Co-Cr-Mn-Nb-Ni,BCC,-0.022,0.013,2.6918398465999576,7.4,2.9504452071534417,2.9433470673060818,-0.007098139847359963,-0.24057860251565807
